"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep","Organisation_fame_search","X.x","Company.name","foreign_any","left","invest_any","X.y","No.of.companies.in.corporate.group","X.x.x","Profit.margin.Last.avail..yr","Berry.ratio.Last.avail..yr","EBITDA.margin.Last.avail..yr","Salaries..Turnover.Last.avail..yr","X.y.y","LA.Number.x","LA_Code.x","year.x","category.x","subcategory.x","variable.x","number","percent.x","year.y","children_in_care","X.x.x.x","LA.Number.y","LA_Code.y","year.x.x","category.y","subcategory.y","variable.y","outsideno","outside","X.y.y.y","LA.Number","LA_Code","year.y.y","category","subcategory","variable","others_inside","percent.y","IMD.2019...Extent","Average_house_price","net_gain","high_net_gain","high_need_areas","low_cost_areas","joined","age","month","year","age_months","age_years","rating_numeric"
"24","Private","SC474338",3,"SHROPSHIRE",NA,NA,NA,2015-01-06,1,"2014-08-19","2016-02-15",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106044,"893","E06000051",2023,"net gain","net gain","Net gain of children by responsible LA","57",NA,2023,"656",139740,"893","E06000051",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","253","39",106042,"893","E06000051",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","310",NA,0.0426,268548,57,0,0,0,1,NA,NA,NA,NA,NA,NA
"25","Private","SC061485",3,"PETERBOROUGH",NA,NA,"Good",2014-12-23,1,NA,"2015-05-01",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105990,"874","E06000031",2023,"net gain","net gain","Net gain of children by responsible LA","-37",NA,2023,"412",140499,"874","E06000031",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","263","64",105988,"874","E06000031",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","226",NA,0.3675,236002,-37,0,1,0,0,NA,NA,NA,NA,NA,3
"26","Voluntary","SC460790",3,"NOTTINGHAMSHIRE",NA,NA,NA,2014-12-23,1,NA,"2015-10-14",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106038,"891","E10000024",2023,"net gain","net gain","Net gain of children by responsible LA","245",NA,2023,"961",139464,"891","E10000024",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","435","45",106036,"891","E10000024",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","680",NA,0.153,233282,245,0,0,0,0,NA,NA,NA,NA,NA,NA
"27","Private","SC377517",5,"NOTTINGHAMSHIRE",NA,NA,NA,2014-12-19,1,NA,"2016-03-21",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106038,"891","E10000024",2023,"net gain","net gain","Net gain of children by responsible LA","245",NA,2023,"961",139464,"891","E10000024",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","435","45",106036,"891","E10000024",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","680",NA,0.153,233282,245,0,0,0,0,NA,NA,NA,NA,NA,NA
"28","Private","SC411194",4,"LEICESTERSHIRE",NA,NA,"Good",2014-12-18,1,NA,"2015-10-01",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105948,"855","E10000018",2023,"net gain","net gain","Net gain of children by responsible LA","345",NA,2023,"681",139257,"855","E10000018",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","250","37",105946,"855","E10000018",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","595",NA,0.0247,286368,345,1,0,0,0,NA,NA,NA,NA,NA,3
"29","Private","SC421844",6,"BIRMINGHAM",NA,NA,"Inadequate",2014-12-16,1,NA,"2015-08-10",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105738,"330","E08000025",2023,"net gain","net gain","Net gain of children by responsible LA","178",NA,2023,"2201",139809,"330","E08000025",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","888","40",105736,"330","E08000025",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1066",NA,0.5792,229962,178,0,0,0,0,NA,NA,NA,NA,NA,1
"30","Private","SC480680",4,"DERBY",NA,NA,NA,2014-12-09,1,"2014-08-29","2015-07-06",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105909,"831","E06000015",2023,"net gain","net gain","Net gain of children by responsible LA","-247",NA,2023,"620",138774,"831","E06000015",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","391","63",105907,"831","E06000015",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","144",NA,0.3427,206555,-247,0,1,0,1,NA,NA,NA,NA,NA,NA
"31","Private","SC065055",2,"SOMERSET",NA,NA,NA,2014-12-05,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,106086,"933","E10000027",2023,"net gain","net gain","Net gain of children by responsible LA","3",NA,2023,"564",143742,"933","E10000027",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","213","38",106084,"933","E10000027",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","216",NA,0.0847,290264,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"32","Private","SC456953",4,"HEREFORDSHIRE",NA,NA,"Good",2014-12-05,1,NA,"2015-10-19",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106017,"884","E06000019",2023,"net gain","net gain","Net gain of children by responsible LA","-9",NA,2023,"412",139533,"884","E06000019",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","129","31",106015,"884","E06000019",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","120",NA,0.0687,305112,-9,0,0,0,0,NA,NA,NA,NA,NA,3
"33","Private","SC413565",3,"DURHAM",NA,NA,"Good",2014-12-03,1,NA,"2016-01-14",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3043,129680,NA,NA,NA,1,0,NA,NA,NA,NA,NA,3
"34","Private","SC065541",4,"NORFOLK",NA,NA,"Good",2014-12-03,1,NA,"2015-11-15",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106074,"926","E10000020",2023,"net gain","net gain","Net gain of children by responsible LA","38",NA,2023,"1213",141120,"926","E10000020",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","256","21",106072,"926","E10000020",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","294",NA,0.1504,277201,38,0,0,0,0,NA,NA,NA,NA,NA,3
"35","Local Authority","SC379659",5,"LIVERPOOL",NA,NA,"Outstanding",2014-12-03,1,NA,"2016-02-04",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105762,"341","E08000012",2023,"net gain","net gain","Net gain of children by responsible LA","-295",NA,2023,"1477",137325,"341","E08000012",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","670","45",105760,"341","E08000012",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","375",NA,0.6213,173665,-295,0,0,0,0,NA,NA,NA,NA,NA,4
"36","Local Authority","SC035239",4,"DURHAM",NA,NA,NA,2014-12-02,1,NA,"2015-08-31",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3043,129680,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA
"37","Private","SC061368",4,"ST HELENS",NA,NA,NA,2014-12-02,1,NA,"2015-08-25",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105765,"342","E08000013",2023,"net gain","net gain","Net gain of children by responsible LA","-27",NA,2023,"469",137394,"342","E08000013",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","215","46",105763,"342","E08000013",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","188",NA,0.4011,179079,-27,0,0,0,0,NA,NA,NA,NA,NA,NA
"38","Private","SC006879",2,"GREENWICH",NA,NA,NA,2014-12-02,1,NA,"2015-04-15",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105645,"203","E09000011",2023,"net gain","net gain","Net gain of children by responsible LA","-110",NA,2023,"414",145329,"203","E09000011",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","282","68",105643,"203","E09000011",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","172",NA,0.2017,437459,-110,0,1,0,0,NA,NA,NA,NA,NA,NA
"39","Local Authority","SC035383",3,"NORTHUMBERLAND",NA,NA,NA,2014-11-27,1,NA,"2015-06-29",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106080,"929","E06000057",2023,"net gain","net gain","Net gain of children by responsible LA","77",NA,2023,"450",135738,"929","E06000057",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","122","27",106078,"929","E06000057",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","199",NA,0.205,197937,77,0,0,0,0,NA,NA,NA,NA,NA,NA
"40","Private","SC367456",5,"LINCOLNSHIRE",NA,NA,NA,2014-11-27,1,NA,"2015-07-22",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106071,"925","E10000019",2023,"net gain","net gain","Net gain of children by responsible LA","425",NA,2023,"728",139326,"925","E10000019",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","159","22",106069,"925","E10000019",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","584",NA,0.1463,227445,425,1,0,0,0,NA,NA,NA,NA,NA,NA
"41","Private","SC411297",4,"LEICESTERSHIRE",NA,NA,"Good",2014-11-27,1,NA,"2015-07-28",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105948,"855","E10000018",2023,"net gain","net gain","Net gain of children by responsible LA","345",NA,2023,"681",139257,"855","E10000018",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","250","37",105946,"855","E10000018",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","595",NA,0.0247,286368,345,1,0,0,0,NA,NA,NA,NA,NA,3
"42","Private","SC429769",6,"SUFFOLK",NA,NA,NA,2014-11-26,1,NA,"2015-05-01",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106089,"935","E10000029",2023,"net gain","net gain","Net gain of children by responsible LA","48",NA,2023,"983",141189,"935","E10000029",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","216","22",106087,"935","E10000029",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","264",NA,0.1107,290085,48,0,0,0,0,NA,NA,NA,NA,NA,NA
"43","Private","SC401547",5,"NEWCASTLE UPON TYNE",NA,NA,NA,2014-11-26,1,NA,"2015-08-25",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105834,"391","E08000021",2023,"net gain","net gain","Net gain of children by responsible LA","-196",NA,2023,"635",135807,"391","E08000021",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","322","51",105832,"391","E08000021",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","126",NA,0.3706,196297,-196,0,1,0,0,NA,NA,NA,NA,NA,NA
"44","Private","SC023735",2,"KENT",NA,NA,"Good",2014-11-25,1,NA,"2015-06-29",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106023,"886","E10000016",2023,"net gain","net gain","Net gain of children by responsible LA","793",NA,2023,"1942",142293,"886","E10000016",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","368","19",106021,"886","E10000016",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1161",NA,0.1401,344708,793,0,0,0,0,NA,NA,NA,NA,NA,3
"45","Local Authority","SC039680",10,"LANCASHIRE",NA,NA,"Good",2014-11-21,1,NA,"2015-12-31",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106029,"888","E10000017",2023,"net gain","net gain","Net gain of children by responsible LA","815",NA,2023,"1875",137670,"888","E10000017",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","349","19",106027,"888","E10000017",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1164",NA,0.2447,188185,815,0,0,0,0,NA,NA,NA,NA,NA,3
"46","Local Authority","SC033371",12,"LEEDS",NA,NA,NA,2014-11-19,1,NA,"2015-09-04",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105825,"383","E08000035",2023,"net gain","net gain","Net gain of children by responsible LA","-163",NA,2023,"1450",138567,"383","E08000035",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","476","33",105823,"383","E08000035",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","313",NA,0.3284,237069,-163,0,0,0,0,NA,NA,NA,NA,NA,NA
"47","Local Authority","SC038827",6,"HAMPSHIRE",NA,NA,"Good",2014-11-18,1,NA,"2015-10-10",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105939,"850","E10000014",2023,"net gain","net gain","Net gain of children by responsible LA","-139",NA,2023,"1853",142224,"850","E10000014",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","760","41",105937,"850","E10000014",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","621",NA,0.0493,367585,-139,0,0,0,0,NA,NA,NA,NA,NA,3
