"","Sector.x","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep","Organisation_fame_search","X.x","Company.name","X.1","X.y","Indiv","Invest","LA_owned_companies","Sector.y","Sector_merge","year","joined","left","age","X.x.x","profit_margin_average","ebitda_margin_average","salaries_turnover_average","Region.Country.name","net_loss","median_house_price_detached","median_wage","average_house_price_per_sq_m","residential_expenditure","Unemployment.rate...aged.16.64.","occupancy_rate_fte","X..of.white...aged.16.","claimant_count_rate","rel_pov_per","overall.average","number_of_inspections","ever_outstanding","ever_inadequate","children_in_care","net_loss_s","median_wage_s","median_house_price_detached_s","average_house_price_per_sq_m_s","children_in_care_s","residential_expenditure_s","claimant_count_rate_s","X..of.white...aged.16._s","Unemployment.rate...aged.16.64._s","occupancy_rate_fte_s","rel_pov_per_s","closed","age_years","X.y.y","chain_size","binary_sector_private","net_loss_2014","needQuint","houseQuint","chain_size_0s","X.x.x.x","reqs_per","recs_per","house_price_2014","children_in_care_23","X.y.y.y","sector_third","sector_invest","sector_corp","sector_indiv","sector_la","majority"
"11","Local Authority","SC035239",4,"DURHAM",NA,NA,NA,2014-12-02,1,NA,"2015-08-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"North East",-42.1818181818182,20.9533181818182,13.2418181818182,1181.66666666667,7850385,5.47,87.92,98.52,3.55454545454545,24.4887937372761,2,3,0,0,54.2857142857143,-0.151282280665666,-0.66703527619974,-0.515708674284718,-0.873938725602697,-0.464873749710573,-0.92271454899347,0.180994256524182,0.792241670230054,0.664688933372892,0.560586455849664,0.376029536879233,"1",NA,9,14,"0",-39,"1","1",1.4,1172,0,0,1171,24.5,NA,NA,0,NA,NA,1,"Lab plurality"
"12","Local Authority","SC035383",3,"NORTHUMBERLAND",NA,NA,NA,2014-11-27,1,NA,"2015-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"North East",3.72727272727273,27.9527090909091,13.0272727272727,1552.33333333333,8153820.81818182,5.29,92.47,98.96,3.24545454545455,20.711426387453,2,3,0,0,32.6428571428571,0.478489212245306,-0.81586975442535,-0.284754243473903,-0.613539930864831,-0.953585700089351,-0.894148194511476,-0.0608817413049634,0.827917276790044,0.536946320355873,1.24615705602762,-0.127723043410383,"1",NA,10,6,"0",-7,"2","1",0.6,1178,0,0,1510,11.2,NA,NA,0,NA,NA,1,"Con plurality"
"13","Local Authority","SC039680",10,"LANCASHIRE",NA,NA,"Good",2014-11-21,1,NA,"2015-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"North West",-236.272727272727,27.0263,13.5054545454545,1571.80555555556,41367840.9090909,3.81,78.76,92.9,3.1,23.4520010157247,3,3,0,0,120.142857142857,-2.81378156257641,-0.48414545126149,-0.31532237248224,-0.599860407849899,1.02222994088096,2.2327188885316,-0.174705740283385,0.336566877350183,-0.513381831117391,-0.819595235937173,0.237762071648069,"1",NA,11,22,"0",-137,"1","1",2.2,1304,0,0,NA,9.9,NA,NA,0,NA,NA,1,"Con"
"14","Local Authority","SC033371",12,"LEEDS",NA,NA,NA,2014-11-19,1,NA,"2015-09-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"Yorkshire and The Humber",35.9090909090909,33.4828909090909,14.8936363636364,2388.66666666667,21526600.1818182,4.07,94.76,85.84,3.71818181818182,25.4821506727572,1.5,3,0,1,97.7142857142857,0.919952793414581,0.47886407522371,-0.102278366545864,-0.0260034416586205,0.515775972501629,0.364805207892146,0.309046255374905,-0.235864446089654,-0.328864723426142,1.59120247897433,0.508504372672103,"1",NA,12,12,"0",29,"5","3",1.2,1085,0,0,2270,57.6,NA,NA,0,NA,NA,1,"Lab"
"15","Local Authority","SC038827",6,"HAMPSHIRE",NA,NA,"Good",2014-11-18,1,NA,"2015-10-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"South East",-28.1818181818182,46.5927272727273,15.6472727272727,3536.12121212121,39006609.3636364,3.12,87.43,94.63,1.79090909090909,11.2921167223321,3,3,0,0,140.428571428571,0.0407668478656009,1.0016767127196,0.330298529745791,0.780100283124247,1.4802965874406,2.01042549632204,-1.19912173108918,0.476836875870143,-1.00306184768263,0.486755775830497,-1.38388933832308,"1",NA,13,17,"0",-4,"1","4",1.7,1284,0,0,NA,64.31,NA,NA,0,NA,NA,1,"Con"
"16","Local Authority","SC031537",6,"SLOUGH",NA,NA,"Good",2014-11-11,1,NA,"2015-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"South East",10.0909090909091,52.3613636363636,17.1681818181818,4815.33333333333,3915348.18181818,5.51,67.32,45.1,3.54545454545455,19.8404142222576,3,3,0,0,22.4285714285714,0.565784270668609,2.05676180624268,0.520642538992054,1.6787656461936,-1.1842319340965,-1.29317067154827,0.17388025658803,-3.53910128984872,0.693076180710007,-2.5433156020989,-0.243881887665065,"1",NA,14,2,"0",9,"3","4",0.2,1046,0,0,4051,NA,NA,NA,0,NA,NA,1,"Con plurality"
"17","Local Authority","SC035454",4,"LANCASHIRE",NA,NA,"Good",2014-11-04,1,NA,"2016-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"North West",-236.272727272727,27.0263,13.5054545454545,1571.80555555556,41367840.9090909,3.81,78.76,92.9,3.1,23.4520010157247,3,3,0,0,120.142857142857,-2.81378156257641,-0.48414545126149,-0.31532237248224,-0.599860407849899,1.02222994088096,2.2327188885316,-0.174705740283385,0.336566877350183,-0.513381831117391,-0.819595235937173,0.237762071648069,"1",NA,15,22,"0",-137,"1","1",2.2,1183,0,0,NA,9.9,NA,NA,0,NA,NA,1,"Con"
"18","Voluntary","SC060759",6,"LEWISHAM",NA,NA,"Good",2014-10-29,1,NA,"2015-12-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Third sector",2014,0,1,NA,NA,NA,NA,NA,"London",20.7272727272727,84.5697727272727,17.1872727272727,6645.33333333333,12713399.9090909,5.25,68.31,65.19,4.75454545454545,17.0851796688348,3,2,0,0,51.0714285714286,0.711691725461844,2.07000555218648,1.58340283992786,2.96436760942281,-0.537454732440094,-0.46489579649184,1.12004224809616,-1.91018552668918,0.508559073018758,-2.39414749348875,-0.611322061482101,"1",NA,NA,NA,"0",26,"5","5",NA,1436,0,0,5942,NA,NA,1,NA,NA,NA,NA,"Lab"
"19","Voluntary","SC437948",4,"MEDWAY",NA,NA,"Inadequate",2014-10-23,1,NA,"2015-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Third sector",2014,0,1,NA,NA,NA,NA,NA,"South East",24.4545454545455,40.3681818181818,14.6581818181818,2819.66666666667,9493027.36363636,5.06,70.58,91.02,3.42727272727273,18.0825805675019,1,4,0,1,42.7857142857143,0.762821688252635,0.31552454191679,0.124911179448862,0.276780408697549,-0.724552376809528,-0.768071289249297,0.081398257418063,0.184134740230226,0.37371964816746,-2.05211556768568,-0.478307919685633,"1",NA,NA,NA,"0",20,"5","3",NA,2183,0,0,2662,NA,NA,1,NA,NA,NA,NA,"Lab"
"20","Local Authority","SC036758",4,"SHROPSHIRE",NA,NA,"Good",2014-10-16,1,NA,"2015-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"West Midlands",-94.6363636363636,30.7222727272727,13.1,2135.33333333333,13039822.1818182,3.31,89.08,97.9,2.13636363636364,17.1903701020499,3,3,0,0,54.7857142857143,-0.87084297652632,-0.765417388925143,-0.193368721285119,-0.203973840939896,-0.453583374619314,-0.434165428503582,-0.928789733515425,0.741971497350069,-0.868222422831332,0.735369290180747,-0.597293785371665,"1",NA,16,6,"0",-97,"1","3",0.6,1226,0,0,2040,20.4,NA,NA,0,NA,NA,1,"Con"
"21","Local Authority","SC039243",8,"LANCASHIRE",NA,NA,"Good",2014-10-08,1,NA,"2016-02-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"North West",-236.272727272727,27.0263,13.5054545454545,1571.80555555556,41367840.9090909,3.81,78.76,92.9,3.1,23.4520010157247,3,3,0,0,120.142857142857,-2.81378156257641,-0.48414545126149,-0.31532237248224,-0.599860407849899,1.02222994088096,2.2327188885316,-0.174705740283385,0.336566877350183,-0.513381831117391,-0.819595235937173,0.237762071648069,"1",NA,17,22,"0",-137,"1","1",2.2,1298,0,0,NA,9.9,NA,NA,0,NA,NA,1,"Con"
"22","Local Authority","SC035780",7,"DERBYSHIRE",NA,NA,"Inadequate",2014-09-24,1,NA,"2015-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"East Midlands",-42.2727272727273,26.8756818181818,13.1590909090909,1827.29166666667,24112375.4545455,3.33,83.95,96.98,2.39090909090909,18.2303522477871,1,3,0,1,84.5714285714286,-0.152529352928856,-0.724424841956226,-0.320292224416985,-0.420377650460697,0.219000398674253,0.608237817443998,-0.729597735303188,0.66737704727009,-0.854028799162774,-0.0375927271627535,-0.458600976107356,"1",NA,18,17,"0",-47,"1","2",1.7,1193,0,0,NA,55.44,NA,NA,0,NA,NA,1,"Con"
"23","Local Authority","SC375540",6,"ROTHERHAM",NA,NA,NA,2014-09-23,1,NA,"2015-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"Yorkshire and The Humber",34.2727272727273,23.7085,13.1509090909091,1415.66666666667,13009162.0909091,5.4,88.92,94.19,4,27.4647934795163,2,3,0,0,51.4285714285714,0.89750549267716,-0.730100733074999,-0.424797699763775,-0.709550277845519,-0.529390178803481,-0.437051861063216,0.529580253395596,0.441161269310153,0.61501125053294,0.711261313031633,0.772911124042022,"1",NA,19,8,"0",27,"5","1",0.8,1775,29,0,1405,15.25,NA,NA,0,NA,NA,1,"Lab"
"24","Local Authority","SC039183",4,"LANCASHIRE",NA,NA,"Outstanding",2014-08-13,1,NA,"2016-02-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"North West",-236.272727272727,27.0263,13.5054545454545,1571.80555555556,41367840.9090909,3.81,78.76,92.9,3.1,23.4520010157247,4,3,1,0,120.142857142857,-2.81378156257641,-0.48414545126149,-0.31532237248224,-0.599860407849899,1.02222994088096,2.2327188885316,-0.174705740283385,0.336566877350183,-0.513381831117391,-0.819595235937173,0.237762071648069,"1",NA,20,22,"0",-137,"1","1",2.2,1294,0,0,NA,9.9,NA,NA,0,NA,NA,1,"Con"
"25","Voluntary","SC066293",4,"BRENT",NA,NA,NA,2014-08-13,1,NA,"2015-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Third sector",2014,0,1,NA,NA,NA,NA,NA,"London",12.5454545454545,86.2090909090909,16.26,7240,6942363.54545454,6.86666666666667,67.62,38.99,4.70909090909091,17.0930228008462,2,3,0,0,57.9285714285714,0.59945522177474,1.42673789205885,1.6374943748224,3.3821297045778,-0.382615302617115,-1.0081984015697,1.0844722484154,-4.03450573548858,1.65587698622717,-2.49811314494431,-0.610276095436872,"1",NA,NA,NA,"0",14,"4","5",NA,1585,0,0,6590,NA,NA,1,NA,NA,NA,NA,"Lab"
"26","Local Authority","SC062937",4,"SEFTON",NA,NA,"Good",2014-08-04,1,NA,"2015-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"North West",-9.81818181818182,30.2745454545455,13.5154545454545,1580,11424038.2727273,3.38,84.75,96.77,3.78181818181818,19.0701834801986,3,3,0,0,53.8571428571429,0.29267544502999,-0.477208251005211,-0.208142092107558,-0.594103689890692,-0.474551214074509,-0.586280153093331,0.358844254927965,0.650350053230094,-0.81854473999138,0.0829471585828213,-0.346600444743909,"1",NA,21,4,"0",-13,"1","2",0.4,1483,0,0,1564,35.51,NA,NA,0,NA,NA,1,"Lab"
"27","Local Authority","SC034938",4,"CAMBRIDGESHIRE",NA,NA,"Good",2014-07-30,1,NA,"2016-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"East of England",-31.3636363636364,37.2408909090909,16.0281818181818,3258.86666666667,12868966.9090909,3.32,80.04,92.97,1.69090909090909,13.1346674338974,3,3,0,0,81.7857142857143,-0.00288068134605056,1.26592097702694,0.0217219589481398,0.58532487987256,0.156096880308667,-0.450250254332946,-1.27737573038684,0.342242542030181,-0.861125610997053,-0.626731418744252,-1.13816537522775,"1",NA,22,6,"0",-11,"1","4",0.6,2947,NA,NA,NA,19.04,NA,NA,0,NA,NA,1,"Con plurality"
"28","Local Authority","SC039216",7,"HAMPSHIRE",NA,NA,NA,2014-07-16,1,NA,"2015-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"South East",-28.1818181818182,46.5927272727273,15.6472727272727,3536.12121212121,39006609.3636364,3.12,87.43,94.63,1.79090909090909,11.2921167223321,2,3,0,0,140.428571428571,0.0407668478656009,1.0016767127196,0.330298529745791,0.780100283124247,1.4802965874406,2.01042549632204,-1.19912173108918,0.476836875870143,-1.00306184768263,0.486755775830497,-1.38388933832308,"1",NA,23,17,"0",-4,"1","4",1.7,NA,NA,NA,NA,64.31,NA,NA,0,NA,NA,1,"Con"
"29","Local Authority","SC458115",NA,"SHEFFIELD",NA,NA,"Outstanding",2014-07-09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,0,NA,NA,NA,NA,NA,"Yorkshire and The Humber",21,29.9406363636364,14.44,1932.33333333333,16191687.5454545,5.67,96.45,85.17,3.80909090909091,28.3601520518499,4,3,1,0,70.2857142857143,0.715432942251414,0.164167445416168,-0.219159877088434,-0.346584331942918,-0.103581746790288,-0.137439406517594,0.380186254736419,-0.290188665169639,0.806625170058468,1.84584298761186,0.892316823654114,"0",NA,24,10,"0",5,"5","2",1,3201,NA,NA,1867,22,NA,NA,0,NA,NA,1,"Lab plurality"
"30","Local Authority","SC039100",4,"KINGSTON UPON HULL",NA,NA,"Good",2014-07-07,1,NA,"2016-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"Yorkshire and The Humber",17.9090909090909,20.7636272727273,13.63,1473,13041233.1818182,6.54,92.15,93.93,5.41818181818182,34.3777273841702,3,3,0,0,62.4285714285714,0.673032485302952,-0.397745775342385,-0.521967784042708,-0.66927276642923,-0.281001926795785,-0.434032592748016,1.6393642434352,0.42008022907016,1.42404779964072,1.19794110172939,1.69482524288038,"1",NA,25,17,"0",21,"4","1",1.7,3000,NA,NA,1418,4.48,NA,NA,0,NA,NA,1,"LD"
"31","Local Authority","SC033587",6,"ROTHERHAM",NA,NA,"Good",2014-07-04,1,NA,"2016-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"Yorkshire and The Humber",34.2727272727273,23.7085,13.1509090909091,1415.66666666667,13009162.0909091,5.4,88.92,94.19,4,27.4647934795163,3,4,0,0,51.4285714285714,0.89750549267716,-0.730100733074999,-0.424797699763775,-0.709550277845519,-0.529390178803481,-0.437051861063216,0.529580253395596,0.441161269310153,0.61501125053294,0.711261313031633,0.772911124042022,"1",NA,26,8,"0",27,"5","1",0.8,NA,NA,NA,1405,15.25,NA,NA,0,NA,NA,1,"Lab"
"32","Local Authority","SC358206",3,"SOMERSET",NA,NA,NA,2014-06-25,1,NA,"2016-03-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"South West",-18.5454545454545,34.3635909090909,13.2763636363636,2413.86666666667,14860374.2727273,3.41,80.03,97.91,2.29090909090909,NA,2,3,0,0,64.5,0.172956507763745,-0.643070402587142,-0.0732184712125568,-0.00830007036169349,-0.234227515703427,-0.262773215502935,-0.807851734600852,0.742782306590068,-0.797254304488543,-0.628238167316073,NA,"1",NA,27,5,"0",-38,"1","3",0.5,3103,NA,NA,NA,18.72,NA,NA,0,NA,NA,1,"LD"
"33","Local Authority","SC065486",7,"SLOUGH",NA,NA,NA,2014-05-21,1,NA,"2015-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"South East",10.0909090909091,52.3613636363636,17.1681818181818,4815.33333333333,3915348.18181818,5.51,67.32,45.1,3.54545454545455,19.8404142222576,NA,3,0,0,22.4285714285714,0.565784270668609,2.05676180624268,0.520642538992054,1.6787656461936,-1.1842319340965,-1.29317067154827,0.17388025658803,-3.53910128984872,0.693076180710007,-2.5433156020989,-0.243881887665065,"1",NA,28,2,"0",9,"3","4",0.2,3077,NA,NA,4051,NA,NA,NA,0,NA,NA,1,"Con plurality"
"34","Local Authority","SC032531",1,"ROCHDALE",NA,NA,"Good",2014-05-16,1,NA,"2016-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"North West",-27.7272727272727,25.2017272727273,12.5527272727273,1526.33333333333,9029762.54545454,5.69,86.68,79.6,4.85454545454545,32.8263199870395,3,3,0,0,41.2142857142857,0.0470022091815511,-1.1450714393142,-0.37552663327769,-0.631805313948962,-0.760036412810627,-0.811684423303526,1.19829624739382,-0.741809411849512,0.820818793727026,0.373749632944023,1.48792837344522,"1",NA,29,5,"0",-30,"1","1",0.5,NA,NA,NA,1425,12.24,NA,NA,0,NA,NA,1,"Lab"
"35","Local Authority","SC039134",4,"LANCASHIRE",NA,NA,"Outstanding",2013-11-29,1,NA,"2015-11-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2013,0,1,NA,NA,NA,NA,NA,"North West",-236.272727272727,27.0263,13.5054545454545,1571.80555555556,41367840.9090909,3.81,78.76,92.9,3.1,23.4520010157247,NA,2,0,0,120.142857142857,-2.81378156257641,-0.48414545126149,-0.31532237248224,-0.599860407849899,1.02222994088096,2.2327188885316,-0.174705740283385,0.336566877350183,-0.513381831117391,-0.819595235937173,0.237762071648069,"1",NA,30,22,"0",-137,"1","1",2.2,NA,NA,NA,NA,9.9,NA,NA,0,NA,NA,1,"Con"
"36","Voluntary","SC009390",4,"BOLTON",NA,NA,"Good",2013-11-13,1,NA,"2015-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Third sector",2013,0,1,NA,NA,NA,NA,NA,"North West",7.45454545454546,26.6142454545455,13.0927272727273,1580,11072436.2727273,5.98,87.58,81.61,4.74545454545455,33.8123718092113,NA,3,0,0,48.2142857142857,0.529619175036097,-0.770462625475163,-0.328918673109608,-0.594103689890692,-0.601971161533002,-0.619381015835117,1.11292824816,-0.578836754609558,1.02662633692111,0.509357004407794,1.61942899377583,"1",NA,NA,NA,"0",9,"3","2",NA,NA,NA,NA,1595,30.75,NA,1,NA,NA,NA,NA,"Lab plurality"
