"","X","Company.name","Indiv","Invest","LA_owned_companies","Sector"
"37",37,"ACORN RESIDENTIAL CARE LTD",0,234,0,"Investment owned"
"38",38,"ACTION FOR CHILDREN",0,0,0,"Corporate owned"
"39",39,"ACTIVE ARK LIMITED",15,0,0,"Individual owned"
"40",40,"ACTIVE YOUNG PEOPLE LIMITED",0,3456,0,"Investment owned"
"41",41,"ADECYN CHILDREN'S HOME LTD",0,246,0,"Investment owned"
"42",42,"ADEZA CARE HOMES LIMITED",12,0,0,"Individual owned"
"43",43,"ADVANCED ADOLESCENT CARE SOLUTIONS LIMITED",18,0,0,"Individual owned"
"44",44,"ADVENTURE CARE LIMITED",6,0,0,"Individual owned"
"45",45,"ADVISING HEALTH AND SOCIAL-CARE LIMITED",1,0,0,"Individual owned"
"46",46,"ADVOCATE RECRUITMENT LTD",1,0,0,"Individual owned"
"47",47,"AEGIS 24/7 LTD",6,0,0,"Individual owned"
"48",48,"AFTER CARE (N W) LIMITED",0,0,0,"Corporate owned"
"49",49,"ALBRIGHTON CARE HOMES LTD",0,0,0,"Corporate owned"
"50",50,"ALBRIGHTON CARE LIMITED",1,0,0,"Individual owned"
"51",51,"ALEXANDERS HOUSE LTD.",0,0,0,"Corporate owned"
"52",52,"ALICIE ENTERPRISES LIMITED",15,0,0,"Individual owned"
"53",53,"ALL ROUND CARE LTD",6,0,0,"Individual owned"
"54",54,"ALLESLEY CHILDRENS CARE LTD",1,0,0,"Individual owned"
"55",55,"ALLINONECARE LTD",4,0,0,"Individual owned"
"56",56,"ALMOND CARE CHILDRENS SERVICES LIMITED",4,0,0,"Individual owned"
"57",57,"ALTUM RESIDENTIAL CARE LTD",4,0,0,"Individual owned"
"58",58,"AMBERLEIGH CARE LIMITED",93312,0,0,"Individual owned"
"59",59,"AMEGREEN CHILDRENS SERVICES LIMITED",18,0,0,"Individual owned"
"60",60,"AMELIA HOUSE LIMITED",16,0,0,"Individual owned"
"61",61,"AMICUS RESIDENTIAL CARE LIMITED",0,0,0,"Corporate owned"
"62",62,"AMMA CHILDCARE SERVICES LTD",24,0,0,"Individual owned"
"63",63,"AMOS AFTERCARE MOVING ON SCHEME LTD",2,0,0,"Individual owned"
"64",64,"ANCHOR CARE AND EDUCATION LTD",15,0,0,"Individual owned"
"65",65,"ANCHOR CAREHOMES LIMITED",0,0,0,"Corporate owned"
"66",66,"ANDERIDA ADOLESCENT CARE LIMITED",0,0,0,"Corporate owned"
"67",67,"ANNA HOUSE LIMITED",3,0,0,"Individual owned"
"68",68,"APEX CHILDRENS SERVICES LTD",24,0,0,"Individual owned"
"69",69,"APPLECAST LIMITED",0,0,0,"Corporate owned"
"70",70,"APPLETREE TREATMENT CENTRE LIMITED",225,0,0,"Individual owned"
"71",71,"APPROACH-DEVELOPMENT (NE) LTD.",1,0,0,"Individual owned"
"72",72,"AR CURAM LIMITED",36,0,0,"Individual owned"
"73",73,"ARC ADVENTURE (SUSSEX) LTD",0,0,0,"Corporate owned"
"74",74,"ARC HD SERVICES LIMITED",5,0,0,"Individual owned"
"75",75,"ARC HEALTHCARE SOUTHWEST",0,0,0,"Corporate owned"
"76",76,"ARCHWAYS CARE LTD",0,0,0,"Corporate owned"
"77",77,"AREA CAMDEN LIMITED",0,3584,0,"Investment owned"
"78",78,"ARGF LIMITED",8,0,0,"Individual owned"
"79",79,"ARNFIELD CARE LIMITED",1000,0,0,"Individual owned"
"80",80,"ARRONBETH LTD",4,0,0,"Individual owned"
"81",81,"ASCENT FOSTERING AGENCY LIMITED",12,0,0,"Individual owned"
"82",82,"ASH HOUSE CARE LTD",12,0,0,"Individual owned"
"83",83,"ASHDOWN CARE HOMES LTD",16,0,0,"Individual owned"
"84",84,"ASHFORD CHILDRENS CARE LIMITED",18,0,0,"Individual owned"
"85",85,"ASHWOOD CHILDRENS CARE HOME LTD",0,0,0,"Corporate owned"
"86",86,"ASPIRATION HOUSE LIMITED",6,0,0,"Individual owned"
"87",87,"ASPIRATIONS CARE LIMITED",0,1404,0,"Investment owned"
"88",88,"ASPIRE 2 BE LTD",12,0,0,"Individual owned"
"89",89,"ASPIRE CARE AND EDUCATION SERVICES LIMITED",16,0,0,"Individual owned"
"90",90,"ASPIRE CHILD CARE LTD",12,0,0,"Individual owned"
"91",91,"ASPIRE HOUSE LTD",4,0,0,"Individual owned"
"92",92,"ASPIRE RESIDENTIAL CARE HOME LTD",4,0,0,"Individual owned"
"93",93,"ASPIREONE CARE LIMITED",0,0,0,"Corporate owned"
"94",94,"ASPRIS CHILDREN'S SERVICES LIMITED",0,828,0,"Investment owned"
"95",95,"ASPRIS NEW EDUCATION SERVICES LIMITED",0,848,0,"Investment owned"
"96",96,"ASSURE CARE HOMES LTD",0,0,0,"Corporate owned"
"97",97,"ASTON CHILDREN'S CARE LTD",0,0,0,"Corporate owned"
"98",98,"ATLAS HEALTHCARE LIMITED",0,6424,0,"Investment owned"
"99",99,"ATTIVO CARE LIMITED",64,0,0,"Individual owned"
"100",100,"AURORA ASD LIMITED",0,58496,0,"Investment owned"
"101",101,"AURORA CARE AND EDUCATION OPCO LIMITED",0,22248,0,"Investment owned"
"102",102,"AURORA CARE YOUNG PEOPLE'S SERVICES LIMITED",1,0,0,"Individual owned"
"103",103,"AUTISM INITIATIVES (UK)",0,0,0,"Corporate owned"
"104",104,"AUTISM SUSSEX LIMITED",0,0,0,"Corporate owned"
"105",105,"AUTONOMY PLUS LIMITED",0,0,0,"Corporate owned"
"106",106,"AZALEA CARE LTD",12,0,0,"Individual owned"
"107",107,"BACK ON TRACK CHILDREN'S SERVICES SE LTD",6,0,0,"Individual owned"
"108",108,"BARFORD CHILDREN'S SERVICES LIMITED",0,0,0,"Corporate owned"
"109",109,"BARNARDISTON HALL PREPARATORY SCHOOL LIMITED",1,0,0,"Individual owned"
"110",110,"BARNARDO SERVICES LIMITED",0,0,0,"Corporate owned"
"111",111,"BARNARDOS - REPUBLIC OF IRELAND COMPANY LIMITED BY GUARANTEE",0,0,0,"Corporate owned"
"112",112,"BARRACARE LTD",2,0,0,"Individual owned"
"113",113,"BAY TREE HOUSE (GRAVESEND) LIMITED",0,0,0,"Corporate owned"
"114",114,"BAY TREE HOUSE (HIGHAM) LTD",0,0,0,"Corporate owned"
"115",115,"BAY VIEW CHILD CARE LIMITED",0,3584,0,"Investment owned"
"116",116,"BAYIS SHELI LTD",0,0,0,"Corporate owned"
"117",117,"BEACON CHILDCARE LTD",10,0,0,"Individual owned"
"118",118,"BEAR CARE SERVICES LIMITED",30,0,0,"Individual owned"
"119",119,"BEAUFORT CARE GROUP LIMITED",0,4,0,"Investment owned"
"120",120,"BELMONT RESIDENTIAL CARE LTD",8,0,0,"Individual owned"
"121",121,"BENECARE LIMITED",36,0,0,"Individual owned"
"122",122,"BENJAMIN UK LTD",8,0,0,"Individual owned"
"123",123,"BERRY GIFFORD LTD",0,0,0,"Corporate owned"
"124",124,"BESS SOLUTIONS LIMITED",6,0,0,"Individual owned"
"125",125,"BETHEL CHILDREN'S CARE LIMITED",6,0,0,"Individual owned"
"126",126,"BFG TOGETHER LTD",6,0,0,"Individual owned"
"127",127,"BIRCHWOOD CHILDRENS SERVICES LIMITED",6,0,0,"Individual owned"
"128",128,"BIRCHWOOD INDEPENDENCE LTD",4,0,0,"Individual owned"
"129",129,"BIRMINGHAM CHILDREN'S TRUST COMMUNITY INTEREST COMPANY",0,0,3,"LA owned company"
"130",130,"BIRTENSHAW",0,0,0,"Corporate owned"
"131",131,"BLACKFORD EDUCATION (SCHOOLS) LIMITED",30,0,0,"Individual owned"
"132",132,"BLOSSOM CARE GROUP LIMITED",9,0,0,"Individual owned"
"133",133,"BLOSSOM CHILDREN'S HOMES LIMITED",0,0,0,"Corporate owned"
"134",134,"BLUE ELEPHANT CHILDCARE LTD",16,0,0,"Individual owned"
"135",135,"BLUE MOUNTAIN HOMES LTD.",4,0,0,"Individual owned"
"136",136,"BRAMLEY CARE LIMITED",0,3584,0,"Investment owned"
"137",137,"BRANAS ISAF (HOLDINGS) LIMITED",0,1368,0,"Investment owned"
"138",138,"BREAK",0,0,0,"Corporate owned"
"139",139,"BRIDGE COMMUNITIES LIMITED",0,0,0,"Corporate owned"
"140",140,"BRIGHT FUTURES CARE LIMITED",0,648,0,"Investment owned"
"141",141,"BRIGHT LIFE LIVING (STIRCHLEY) LTD",0,0,0,"Corporate owned"
"142",142,"BRIGHTER FUTURES FOR CHILDREN LIMITED",0,0,3,"LA owned company"
"143",143,"BRINSCALL CARE LIMITED",30,0,0,"Individual owned"
"144",144,"BROADLANDS HALL LIMITED",0,0,0,"Corporate owned"
"145",145,"BRYN MELYN CARE LIMITED",0,10176,0,"Investment owned"
"146",146,"BRYTHAN HOUSE LIMITED",6,0,0,"Individual owned"
"147",147,"BTTLR LIMITED",6,0,0,"Individual owned"
"148",148,"BUDWOOD LIMITED",0,6400,0,"Investment owned"
"149",149,"C & C UNIQUE CARE SOLUTIONS LTD",9,0,0,"Individual owned"
"150",150,"C F SOCIAL WORK LIMITED",0,1392,0,"Investment owned"
"151",151,"CALCOT SERVICES FOR CHILDREN LIMITED",12,0,0,"Individual owned"
"152",152,"CAMBIAN ASPERGER SYNDROME SERVICES LIMITED",0,6944,0,"Investment owned"
"153",153,"CAMBIAN AUTISM SERVICES LIMITED",0,6944,0,"Investment owned"
"154",154,"CAMBIAN CHILDCARE LIMITED",0,13632,0,"Investment owned"
"155",155,"CAMBIAN SIGNPOST LIMITED",0,9600,0,"Investment owned"
"156",156,"CAMBIAN WHINFELL SCHOOL LIMITED",0,6944,0,"Investment owned"
"157",157,"CAMERON & COOPER LIMITED",1,0,0,"Individual owned"
"158",158,"CANE & ABLE HEALTH CARE LIMITED",12,0,0,"Individual owned"
"159",159,"CANNON CHILDREN SERVICES LIMITED",1,0,0,"Individual owned"
"160",160,"CAPITAL CHILDREN'S CARE LTD",9,0,0,"Individual owned"
"161",161,"CAPSTONE CARE PROVIDER LIMITED",16,0,16,"Individual owned"
"162",162,"CARBREY CARE LTD",12,0,0,"Individual owned"
"163",163,"CARDIAC SCIENCE HOLDINGS (UK) LIMITED",0,0,0,"Corporate owned"
"164",164,"CARE 2 SHARE LIMITED",4,0,0,"Individual owned"
"165",165,"CARE 4 EVERY CHILD LIMITED",0,0,0,"Corporate owned"
"166",166,"CARE ACRE LIMITED",6,0,0,"Individual owned"
"167",167,"CARE AFLOAT LTD.",0,0,0,"Corporate owned"
"168",168,"CARE AND MANAGEMENT SERVICES LIMITED",4,0,0,"Individual owned"
"169",169,"CARE ASSIST CHILDRENS SERVICES LTD",0,0,0,"Corporate owned"
"170",170,"CARE FOCUS LIMITED",0,0,0,"Corporate owned"
"171",171,"CARE HAVEN (UK) LTD",12,0,0,"Individual owned"
"172",172,"CARE MANAGEMENT GROUP LIMITED",0,414,0,"Investment owned"
"173",173,"CARE MANAGEMENT SOLUTIONS LIMITED",0,0,0,"Corporate owned"
"174",174,"CARE PERSPECTIVES LIMITED",11,0,0,"Individual owned"
"175",175,"CARE TODAY (CHILDRENS SERVICES) LTD",0,0,0,"Corporate owned"
"176",176,"CARE2CARE CHILDREN'S HOME LTD",1,0,0,"Individual owned"
"177",177,"CARETECH COMMUNITY SERVICES LIMITED",0,102,0,"Investment owned"
"178",178,"CARING FEATHERS LTD",0,0,0,"Corporate owned"
"179",179,"CARITAS HOMES LIMITED",15,0,0,"Individual owned"
"180",180,"CARLAR CARE LIMITED",6,0,0,"Individual owned"
"181",181,"CARLISLE MENCAP LIMITED",0,0,0,"Corporate owned"
"182",182,"CARTERHATCH HOMES LIMITED",26,0,0,"Individual owned"
"183",183,"CASAEGIS LIMITED",30,0,0,"Individual owned"
"184",184,"CASC (BARROW) LIMITED",16,0,0,"Individual owned"
"185",185,"CASCADE (BANKS HOUSE) LIMITED",0,0,0,"Corporate owned"
"186",186,"CASTLE CARE HOMES LIMITED",2,0,0,"Individual owned"
"187",187,"CASTLE CARE HOMES LTD",6,0,0,"Individual owned"
"188",188,"CASTLE HOMES CARE LIMITED",0,1240,0,"Investment owned"
"189",189,"CASTLE HOMES LIMITED",0,1240,0,"Investment owned"
"190",190,"CASTLECARE CYMRU LIMITED",0,1240,0,"Investment owned"
"191",191,"CATCH 22 CHARITY LIMITED",0,0,0,"Corporate owned"
"192",192,"CATERPILLAR CARE SERVICES LTD",3,0,0,"Individual owned"
"193",193,"CATHOLIC CARE (DIOCESE OF LEEDS)",0,0,0,"Corporate owned"
"194",194,"CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED",66,0,0,"Individual owned"
"195",195,"CENTRAL & SOUTHERN HOMES LTD",18,0,0,"Individual owned"
"196",196,"CENTRE 404",0,0,0,"Corporate owned"
"197",197,"CF SUPPORT SERVICES LIMITED",0,0,0,"Corporate owned"
"198",198,"CHAIGELEY EDUCATIONAL FOUNDATION",0,0,0,"Corporate owned"
"199",199,"CHAILEY HERITAGE FOUNDATION",0,0,0,"Corporate owned"
"200",200,"CHAMBERLAIN RESIDENTIAL CARE LTD",6,0,0,"Individual owned"
"201",201,"CHAMPION CHILDREN (FIG TREE) LIMITED",0,0,0,"Corporate owned"
"202",202,"CHAMPION CHILDREN (NW LONDON) LIMITED",64,0,0,"Individual owned"
"203",203,"CHANCES CCFSS LIMITED",4,0,0,"Individual owned"
"204",204,"CHANGING LIVES CARE GROUP LTD",0,0,0,"Corporate owned"
"205",205,"CHANNELS AND CHOICES KENT LLP",0,0,0,"Corporate owned"
"206",206,"CHANNELS AND CHOICES LIMITED",0,0,0,"Corporate owned"
"207",207,"CHARIS SERVICES FOR CHILDREN LTD",9,0,0,"Individual owned"
"208",208,"CHARTWELL CARE SERVICES LIMITED",0,0,0,"Corporate owned"
"209",209,"CHERISH CHILDRENS CARE LTD",0,0,0,"Corporate owned"
"210",210,"CHERISHED AND DEVOTED CARE LTD",5,0,0,"Individual owned"
"211",211,"CHERRY CARE  CHILDREN'S HOME LTD",0,0,0,"Corporate owned"
"212",212,"CHERRY COTTAGE LIMITED",2,0,0,"Individual owned"
"213",213,"CHERRY TREES",0,0,0,"Corporate owned"
"214",214,"CHERRY TREES CARE LTD",20,0,0,"Individual owned"
"215",215,"CHILD FIRST LIMITED",36,0,0,"Individual owned"
"216",216,"CHILD FIRST RESIDENTIAL LTD",6,0,0,"Individual owned"
"217",217,"CHILDREN & ADOLESCENTS PLACEMENT PROVISIONS LTD",1,0,0,"Individual owned"
"218",218,"CHILDREN AND FAMILY SERVICES LIMITED",54,0,0,"Individual owned"
"219",219,"CHILDREN ASSISTED IN A REAL ENVIRONMENT LTD",6,0,0,"Individual owned"
"220",220,"CHILDREN OF THE MANGROVE LIMITED",9,0,0,"Individual owned"
"221",221,"CHILLINGTON CLOSE LTD",18,0,0,"Individual owned"
"222",222,"CHOICES 4 CHILDREN LTD",0,0,0,"Corporate owned"
"223",223,"CHOICES HOME FOR CHILDREN LIMITED",9,0,0,"Individual owned"
"224",224,"CLEAR WATER CARE HOMES LTD",9,0,0,"Individual owned"
"225",225,"CLEARWATER CARE (HACKNEY) LIMITED",0,0,0,"Corporate owned"
"226",226,"CLERVAUX GARDEN SCHOOL",0,0,0,"Corporate owned"
"227",227,"CLOSER 2 HOME LIMITED",9,0,0,"Individual owned"
"228",228,"CLOUDS CHILDRENS CARE LIMITED",15,0,0,"Individual owned"
"229",229,"CLOVER CHILDCARE SERVICES LIMITED",12,0,0,"Individual owned"
"230",230,"COASTAL QUALITY CARE LTD",6,0,0,"Individual owned"
"231",231,"COMPASS CHILDREN'S HOMES KENT LIMITED",0,1854,0,"Investment owned"
"232",232,"COMPASS CHILDREN'S HOMES LIMITED",0,204,0,"Investment owned"
"233",233,"COMPASS CHILDREN'S HOMES NORTH EAST LIMITED",0,1854,0,"Investment owned"
"234",234,"CONNECT CARE SOLUTIONS LIMITED",0,0,0,"Corporate owned"
"235",235,"CONQUERED LIMITED",0,0,0,"Corporate owned"
"236",236,"CONSENSUS SUPPORT SERVICES LIMITED",0,5724,0,"Investment owned"
"237",237,"CONSIDERATE CARE LIMITED",0,7632,0,"Investment owned"
"238",238,"CONSISTENT QUALITY SUPPORT LTD",18,0,0,"Individual owned"
"239",239,"CONTEMPORARY CONCEPT CARE LIMITED",6,0,0,"Individual owned"
"240",240,"CONTINUUM SUPPORT - CARE SERVICES LTD",0,0,0,"Corporate owned"
"241",241,"CORE CHILDREN LTD",51,0,0,"Individual owned"
"242",242,"CORNERSTONE CHILDREN'S HOMES LIMITED",4,0,0,"Individual owned"
"243",243,"CORNERWAYS CARE LTD",6,0,0,"Individual owned"
"244",244,"CORNERWAYS CHILDRENS SERVICES LIMITED",6,0,0,"Individual owned"
"245",245,"COUNTRY CARE CHILDRENS HOMES LTD",15,0,0,"Individual owned"
"246",246,"COURTYARD CARE LIMITED",54,54,0,"Investment owned"
"247",247,"COVE CARE RESIDENTIAL LIMITED",0,0,0,"Corporate owned"
"248",248,"CREATING CARE CHOICES LIMITED",18,0,0,"Individual owned"
"249",249,"CROSSWAY SERVICES LIMITED",0,0,0,"Corporate owned"
"250",250,"CRUCKTON HALL LIMITED",0,6696,0,"Investment owned"
"251",251,"CRUSOE CARE LIMITED",4,0,0,"Individual owned"
"252",252,"CRYSTAL CARE SOLUTIONS LIMITED",48600,0,0,"Individual owned"
"253",253,"CURAM DOMI SOLUTIONS LTD",1,0,0,"Individual owned"
"254",254,"CYNHENID CARE LTD",6,0,0,"Individual owned"
"255",255,"D&J CARE SERVICES-RESIDENTIAL LTD",18,0,0,"Individual owned"
"256",256,"DAISYBROOK LIMITED",0,1368,0,"Investment owned"
"257",257,"DALEPEAK LIMITED",0,0,0,"Corporate owned"
"258",258,"DELAM CARE LIMITED",0,1368,0,"Investment owned"
"259",259,"DETAIL PERSONNEL CARE LIMITED",0,0,0,"Corporate owned"
"260",260,"DEVON & CORNWALL AUTISTIC COMMUNITY TRUST",0,0,0,"Corporate owned"
"261",261,"DIRECT CARE CHILDRENS HOMES LTD",18,0,0,"Individual owned"
"262",262,"DIRECT CARE LTD",6,0,0,"Individual owned"
"263",263,"DISCOVERED LIMITED",0,0,0,"Corporate owned"
"264",264,"DIVERSE ABILITIES PLUS LTD",0,0,0,"Corporate owned"
"265",265,"DMR SERVICES LIMITED",12,0,0,"Individual owned"
"266",266,"DONCASTER CHILDREN'S SERVICES TRUST LIMITED",0,0,4,"LA owned company"
"267",267,"DONCASTER DEAF TRUST",0,0,0,"Corporate owned"
"268",268,"DOONAMIS LIMITED",1,0,0,"Individual owned"
"269",269,"DORSET EMERGENCY PLACEMENT SERVICES LTD.",6,0,0,"Individual owned"
"270",270,"DOVE ADOLESCENT SERVICES LIMITED",0,3584,0,"Investment owned"
"271",271,"DUTY OF CARE LIMITED",15,0,0,"Individual owned"
"272",272,"EAGLE CHILDRENS HOME LIMITED",1,0,0,"Individual owned"
"273",273,"EAST MIDLANDS CARE MATTERS LIMITED",4,0,0,"Individual owned"
"274",274,"EDUCARE ADOLESCENT SERVICES LIMITED",0,1566,0,"Investment owned"
"275",275,"EDUCARE SUPPORT LIMITED",0,0,0,"Corporate owned"
"276",276,"EJ CHILDCARE SERVICES LTD",6,0,0,"Individual owned"
"277",277,"ELEVATED FUTURES LTD",12,0,0,"Individual owned"
"278",278,"ELITE CHILDREN'S CARE GROUP LTD",6,0,0,"Individual owned"
"279",279,"ELYSIUM HEALTHCARE LIMITED",0,3136,0,"Investment owned"
"280",280,"EMBRACE CARE LTD",0,0,0,"Corporate owned"
"281",281,"EMERGE CARE AND THERAPEUTIC SOLUTIONS LIMITED",0,0,0,"Corporate owned"
"282",282,"EMPOWER FAMILY SUPPORT SERVICES LTD",0,0,0,"Corporate owned"
"283",283,"EMPOWER RESIDENTIALS LIMITED",0,0,0,"Corporate owned"
"284",284,"ENABLING FUTURES LTD",9,0,0,"Individual owned"
"285",285,"ENHANCEABLE",0,0,0,"Corporate owned"
"286",286,"ENHANCED YOUNG PERSONS' CARE LIMITED",1,0,0,"Individual owned"
"287",287,"ERA CARE LIMITED",12,0,0,"Individual owned"
"288",288,"ESLAND NORTH LIMITED",0,3136,0,"Investment owned"
"289",289,"ESLAND SOUTH LIMITED",0,10768,0,"Investment owned"
"290",290,"ESSANDORE LIMITED",0,0,0,"Corporate owned"
"291",291,"ETHELBERT SPECIALIST HOMES LIMITED",7,0,0,"Individual owned"
"292",292,"EVENTUS ACHIEVES LIMITED",2,0,0,"Individual owned"
"293",293,"EVERGREEN CHILDRENS HOME LTD",1,0,0,"Individual owned"
"294",294,"EVOKE CARE GROUP LIMITED",63,0,0,"Individual owned"
"295",295,"EVOLUTION CHILDREN SERVICES LTD",6,0,0,"Individual owned"
"296",296,"EVOLVE CHILD CARE LIMITED",24,0,0,"Individual owned"
"297",297,"EXCEL RESIDENTIAL CARE LIMITED",0,0,0,"Corporate owned"
"298",298,"EXCEPTIONAL CARE LIMITED",0,0,0,"Corporate owned"
"299",299,"EXETER ROYAL ACADEMY FOR DEAF EDUCATION.",0,0,0,"Corporate owned"
"300",300,"EXITUS CHILDRENS CARE LTD",16,0,0,"Individual owned"
"301",301,"FAIRFIELD RESIDENTIAL LIMITED",6,0,0,"Individual owned"
"302",302,"FAIRPORT CARE SERVICES LIMITED",24,0,0,"Individual owned"
"303",303,"FAIRWAYS CARE (UK) LIMITED",0,0,0,"Corporate owned"
"304",304,"FAMILY CARE ASSOCIATES LIMITED",0,0,0,"Corporate owned"
"305",305,"FAMILY CARE EDUCATION LIMITED",0,0,0,"Corporate owned"
"306",306,"FAMILY FIRST CARE SERVICES LTD",18,0,0,"Individual owned"
"307",307,"FIRST 4 CARE LIMITED",0,0,0,"Corporate owned"
"308",308,"FIRST BLUE HEALTHCARE LIMITED",0,0,0,"Corporate owned"
"309",309,"FIRST STEPS CARE LTD",0,0,0,"Corporate owned"
"310",310,"FIVE RIVERS CHILD CARE LIMITED",0,0,0,"Corporate owned"
"311",311,"FLORINEE HOMES LTD",12,0,0,"Individual owned"
"312",312,"FLOURISH (GLOUCESTERSHIRE) LIMITED",39366,0,0,"Individual owned"
"313",313,"FLOURISH CHILDRENS SERVICES LIMITED",15,0,0,"Individual owned"
"314",314,"FLYING SPUR LIMITED",0,0,0,"Corporate owned"
"315",315,"FONJOCK'S SOCIAL WORK PRACTICE LIMITED",12,0,0,"Individual owned"
"316",316,"FOOTSTEPS A PATH TO CHANGE 08 LIMITED",0,0,0,"Corporate owned"
"317",317,"FOOTSTEPS CARE HOMES LIMITED",4,0,0,"Individual owned"
"318",318,"FOOTSTEPS CARE LIMITED",9,0,0,"Individual owned"
"319",319,"FOOTSTEPS TO FUTURES LIMITED",240,0,0,"Individual owned"
"320",320,"FORMATIONS CARE SERVICES LTD",4,0,0,"Individual owned"
"321",321,"FORTE CARE LTD",9,0,0,"Individual owned"
"322",322,"FRANCES HOUSE LTD",12,0,0,"Individual owned"
"323",323,"FRESH START CARE GROUP LTD",36,0,0,"Individual owned"
"324",324,"FRIENDS & CO LIMITED",6,0,0,"Individual owned"
"325",325,"FRIENDS THERAPEUTIC COMMUNITY TRUST",0,0,0,"Corporate owned"
"326",326,"FRIENDS TOGETHER CARE HOMES LTD",4,0,0,"Individual owned"
"327",327,"FULL CIRCLE CARE LTD",0,0,0,"Corporate owned"
"328",328,"FUSION COLLEGE LTD",24,0,0,"Individual owned"
"329",329,"FUTURE 19 SOCIAL CARE LIMITED",12,0,0,"Individual owned"
"330",330,"FUTURE FOCUSED LTD",0,0,0,"Corporate owned"
"331",331,"FUTURE IN MIND LIMITED",15,0,0,"Individual owned"
"332",332,"G B A CARE LIMITED",4,0,0,"Individual owned"
"333",333,"G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD",40,0,0,"Individual owned"
"334",334,"G.V KIDS LTD",4,0,0,"Individual owned"
"335",335,"GAC FAMILY SERVICES LIMITED",1,0,0,"Individual owned"
"336",336,"GARWAY YOUNG PEOPLE LIMITED",6,0,0,"Individual owned"
"337",337,"GENESIS CTE LIMITED",4,0,0,"Individual owned"
"338",338,"GOOD FOUNDATION LTD",0,0,0,"Corporate owned"
"339",339,"GOOD FOUNDATIONS LIMITED",36,0,0,"Individual owned"
"340",340,"GOOD NEWS NWK LTD",16,0,0,"Individual owned"
"341",341,"GORDON CARE SERVICES LIMITED",8,0,0,"Individual owned"
"342",342,"GRACE CARE LIMITED",0,0,0,"Corporate owned"
"343",343,"GRACEBRIDGE CARE LIMITED",4,0,0,"Individual owned"
"344",344,"GRACEWELLS CARE LIMITED",6,0,0,"Individual owned"
"345",345,"GRAVITAS CARE LIMITED",12,0,0,"Individual owned"
"346",346,"GREEN HARVEST CAPITAL CONSULTING LTD",4,0,0,"Individual owned"
"347",347,"GREEN VIEW YOUNG PEOPLE LIMITED",1,0,0,"Individual owned"
"348",348,"GREENACRE CARE SERVICES LIMITED",1,0,0,"Individual owned"
