,Organisation_fame_search,Company.name
67,Castle Homes Limited,CASTLE HOMES LIMITED
68,Rosedale childrens Services Limited,ROSEDALE CHILDREN'S SERVICES LIMITED
69,Right-Trak Limited,RIGHT-TRAK LIMITED
70,Evolution Childrens Services Limited,EVOLUTION CHILDREN SERVICES LTD
71,Oracle Care Limited,ORACLE CARE LIMITED
72,Strode Park Foundation for People with Disabilities,STRODE PARK FOUNDATION FOR PEOPLE WITH DISABILITIES
73,Break,BREAK
74,The Ryes College Limited,THE RYES COLLEGE LIMITED
75,G B A Care Ltd,G B A CARE LIMITED
76,Lifetime Opportunities Ltd,LIFETIME OPPORTUNITIES LTD
77,Potton Homes Ltd,POTTON HOMES LTD
78,Family Care Associates Limited,FAMILY CARE ASSOCIATES LIMITED
79,Castle Homes Care Ltd,CASTLE HOMES CARE LIMITED
80,Reflexion Care Group Limited,REFLEXION CARE GROUP LIMITED
81,Keys Care Limited,KEYS CARE LIMITED
82,Kedleston (Wood Grove Childcare) Ltd,KEDLESTON (WOOD GROVE CHILDCARE) LIMITED
83,Priory Education Services Limited,ASPRIS CHILDREN'S SERVICES LIMITED
84,Ferndearle Child Care Services Limited,COMPASS CHILDREN'S HOMES KENT LIMITED
85,Jubilee House Care Trust Limited,THE JUBILEE HOUSE CARE TRUST LIMITED
86,Longdon Hall School Limited,LONGDON HALL SCHOOL LIMITED
87,Hopscotch Care Limited,HOPSCOTCH CARE LIMITED
88,Consensus Support Services Ltd,CONSENSUS SUPPORT SERVICES LIMITED
89,Plus One (South West) Ltd,PLUS ONE (SOUTH WEST) LIMITED
90,Clover Childcare Services Ltd,CLOVER CHILDCARE SERVICES LIMITED
91,Care 2 Share 2 Ltd,CARE 2 SHARE LIMITED
92,The Beeches UK Ltd,THE BEECHES UK LIMITED
93,Pathways Care Group Limited,PATHWAYS CARE GROUP LIMITED
94,Barnardiston Hall Preparatory School Limited,BARNARDISTON HALL PREPARATORY SCHOOL LIMITED
95,Quality Protects Children Ltd,QUALITY PROTECTS CHILDREN LTD
96,New Horizons Childcare Ltd,NEW HORIZON CHILDCARE LIMITED
97,The Drive Care Homes Ltd,THE DRIVE CARE HOMES LIMITED
98,Cambian Whinfell School Ltd,CAMBIAN WHINFELL SCHOOL LIMITED
99,Roc Northwest Ltd,ROC NORTHWEST LIMITED
100,Prestige Adolescent Care And Education Limited,PRESTIGE ADOLESCENT CARE AND EDUCATION LIMITED
101,Doncaster Deaf Trust,DONCASTER DEAF TRUST
102,Amos Aftercare Moving On Scheme Ltd,AMOS AFTERCARE MOVING ON SCHEME LTD
103,Greenfields Adolescent Development Limited,GREENFIELDS ADOLESCENT DEVELOPMENT LIMITED
105,Fairfield Residential Ltd,FAIRFIELD RESIDENTIAL LIMITED
106,Highfield (North East) Limited,HIGHFIELD (NORTH EAST) LIMITED
107,Alicie Enterprises Limited,ALICIE ENTERPRISES LIMITED
108,Aspireone Care Ltd,ASPIREONE CARE LIMITED
109,Institute of Integrated Systemic Therapy,INSTITUTE OF INTEGRATED SYSTEMIC THERAPY
110,My Choice childrens Homes Ltd,MY CHOICE CHILDREN'S HOMES LIMITED
111,Semi-Independent House Limited,SEMI-INDEPENDENT HOUSE LIMITED
112,The Together Trust,THE TOGETHER TRUST
113,Knossington Grange School Ltd,KNOSSINGTON GRANGE SCHOOL LIMITED
114,The Qalb Short Break Services Ltd,THE QALB SHORT BREAK SERVICES LTD
115,CARE TODAY (CHILDRENS SERVICES) LTD,CARE TODAY (CHILDRENS SERVICES) LTD
116,The Vine Residential Services (TVRS) Ltd,THE VINE RESIDENTIAL SERVICES (TVRS) LTD
117,A J Residential Care Ltd,A J RESIDENTIAL CARE LTD
118,Channels and Choices Kent LLP,CHANNELS AND CHOICES KENT LLP
119,Unity Residential Care Services,UNITY RESIDENTIAL CARE SERVICES LIMITED
120,Phoenix Child Care Limited,PHOENIX CHILD CARE LIMITED
121,Grace Care Limited,GRACE CARE LIMITED
122,Acorn Homes (UK) Limited,ACORN HOMES (UK) LIMITED
123,Utopia childrens Services Ltd,UTOPIA CHILDRENS SERVICES LIMITED
124,Direct Care Ltd,DIRECT CARE LTD
125,Future In Mind Limited,FUTURE IN MIND LIMITED
126,North Lakes childrens Services Limited,NORTH LAKES CHILDRENS SERVICES LIMITED
127,Shalamar Children Limited,SHALAMAR CHILDREN LIMITED
128,Merryvale children's Home,MERRYVALE PROPERTIES LIMITED
129,MacIntyre Care,MACINTYRE CARE
130,Parkview Care (broadstairs) Limited,PARKVIEW CARE (BROADSTAIRS) LIMITED
131,Capstone Care Provider Limited,CAPSTONE CARE PROVIDER LIMITED
132,MGM Care Services Ltd,MGM CARE SERVICES LTD
133,Care And Management Services Limited,CARE AND MANAGEMENT SERVICES LIMITED
134,Searchlight Care Services Ltd,SEARCHLIGHT CARE SERVICES LIMITED
135,Bright Futures Care Limited,BRIGHT FUTURES CARE LIMITED
136,Inroads Essex Limited,INROADS (ESSEX) LTD
137,Pine Forest Homes Limited,PINE FOREST HOMES LIMITED
138,Calcot Services For Children Limited,CALCOT SERVICES FOR CHILDREN LIMITED
139,Cotswold Chine School,NOVALIS TRUST
140,Platinum Services For Children (residential Care) Ltd,PLATINUM SERVICES FOR CHILDREN (RESIDENTIAL CARE) LIMITED
141,Underley Schools Limited,UNDERLEY SCHOOLS LIMITED
142,Outdoor Care Limited,OUTDOOR CARE LTD
143,Delam Care Limited,DELAM CARE LIMITED
144,Dove Adolescent Services Limited,DOVE ADOLESCENT SERVICES LIMITED
145,Time-Out Childrens Homes Limited,TIMEOUT CHILDRENS HOMES LIMITED
146,Courtyard Care Limited,COURTYARD CARE LIMITED
147,Pilgrims Corner Limited,PILGRIMS CORNER LIMITED
148,Pathfinders (childcare) Ltd,PATHFINDERS (CHILDCARE) LIMITED
149,TreeHouse Care Fostering Solutions Ltd,TREEHOUSE CARE FOSTERING SOLUTIONS LIMITED
150,Ronanda Limited,RONANDA LIMITED
151,Blackford Education (schools) Ltd,BLACKFORD EDUCATION (SCHOOLS) LIMITED
152,North East Autism Society,NORTH EAST AUTISM SOCIETY
153,Inspire Childrens Services Limited,INSPIRE CHILDRENS SERVICES LIMITED
154,Keys Childcare Ltd,KEYS CHILDCARE (IRL) LIMITED
155,New Options Limited,OPTIONS AUTISM (1) LIMITED
156,Halliwell Homes Limited,HALLIWELL HOMES LIMITED
157,Positive Pathways Limited,POSITIVE PATHWAYS LIMITED
158,Acorn Care (UK) Limited,ACORN CARE (UK) LIMITED
159,One To One Crisis Intervention Ltd,ONE TO ONE CRISIS INTERVENTION LIMITED
160,Archways Care Ltd,ARCHWAYS CARE LTD
161,Educare Adolescent Services Limited,EDUCARE ADOLESCENT SERVICES LIMITED
162,Fairways Care (uk) Limited,FAIRWAYS CARE (UK) LIMITED
163,Active Ark Limited,ACTIVE ARK LIMITED
164,Steps 4 Life Care Ltd,STEPS 4 LIFE CARE LTD
165,Unique Care Homes Support Limited,UNIQUE CARE HOMES SUPPORT LIMITED
166,Heartwood RSW Ltd,HEARTWOOD RSW LTD
167,Cove Care Residential Ltd,COVE CARE RESIDENTIAL LIMITED
168,Marlowe Child & Family Services Limited,HARTMORE EDUCATION LIMITED
169,Care Management Group Limited,CARE MANAGEMENT GROUP LIMITED
170,M.J. Childrens Services Limited,M.J. CHILDRENS SERVICES LIMITED
171,Phoenix Learning And Care Ltd,PHOENIX LEARNING AND CARE LIMITED
172,Pebbles Care,PEBBLES CARE LIMITED
173,Bramley Care Limited,BRAMLEY CARE LIMITED
174,S P Homes Limited,S P HOMES LIMITED
175,The Chartwell Group of Companies Limited,THE CHARTWELL GROUP OF COMPANIES LIMITED
176,Pathway Care Solutions Ltd,PATHWAY CARE SOLUTIONS LIMITED
177,Considerate Care Limited,CONSIDERATE CARE LIMITED
178,Headway Adolescent Resources Limited,HEADWAY ADOLESCENT RESOURCES LIMITED
179,Hopscotch Solutions Limited,HOPSCOTCH SOLUTIONS LIMITED
180,Aspirations Care Limited,ASPIRATIONS CARE LIMITED
181,Interact Care Limited,INTERACT CARE LIMITED
182,Sunfield childrens Homes Limited,SUNFIELD CHILDRENS HOMES LIMITED
183,Blue Mountain Homes Ltd,BLUE MOUNTAIN HOMES LTD.
184,Nottinghamshire Ymca,YMCA ROBIN HOOD GROUP
185,Cornerstone childrens Homes Limited,CORNERSTONE CHILDREN'S HOMES LIMITED
186,Fairport Care Services Ltd,FAIRPORT CARE SERVICES LIMITED
187,The Amicus Community Arundel Limited,THE AMICUS COMMUNITY ARUNDEL LIMITED
188,Beaufort Care Group,BEAUFORT CARE GROUP LIMITED
189,Spark Of Genius North East Llp,SPARK OF GENIUS NORTH EAST LLP
190,Woodside House Care Ltd,WOODSIDE HOUSE CARE LTD
191,A Wilderness Way Ltd,A WILDERNESS WAY LIMITED
192,Lifeworks Charity Limited,LIFEWORKS CHARITY LIMITED
193,Progress Care and Education Limited,PROGRESS CARE AND EDUCATION LIMITED
194,Meadows Care Ltd,MEADOWS CARE LIMITED
195,Lioncare Limited,LIONCARE LIMITED
196,Surecare Residential Ltd,SURECARE RESIDENTIAL LTD
197,Cambian Signpost Limited,CAMBIAN SIGNPOST LIMITED
198,Sea Shell Trust Limited,SEASHELL TRUST
199,Compass childrens Homes Ltd,COMPASS CHILDREN'S HOMES LIMITED
200,Dmr Services Limited,DMR SERVICES LIMITED
201,Holme Farm Residential Village Limited,HOLME FARM RESIDENTIAL VILLAGE LIMITED
202,Good Foundations Limited,GOOD FOUNDATIONS LIMITED
203,The Loddon Foundation Ltd,THE LODDON FOUNDATION LTD
204,Overley Hall School Limited,OVERLEY HALL LIMITED
205,Alliance Care & Education Limited,KEYS ACE LIMITED
206,SES Avocet Limited,SES AVOCET LIMITED
207,Hopedale Children and Family Services Limited,HOPEDALE CHILDREN AND FAMILY SERVICES LIMITED
208,Total Care Matters Limited,TOTAL CARE MATTERS LTD
209,Holibrook House Limited,HOLIBROOK HOUSE LIMITED
210,3 Dimensions Care Limited,3 DIMENSIONS CARE LIMITED
211,4d Care Ltd,4D CARE LIMITED
212,Crystal Care Solutions Limited,CRYSTAL CARE SOLUTIONS LIMITED
213,The Caldecott Foundation Limited,THE CALDECOTT FOUNDATION LIMITED
214,Broadwood Residential Limited,KEYS BR LIMITED
215,Oakley House Childrens Home Limited,OAKLEY HOUSE CHILDRENS HOME LIMITED
216,Milestones Care Homes Limited,MILESTONES CARE HOMES LTD
217,Pear Tree Projects Limited,PEAR TREE PROJECTS LIMITED
218,First 4 Care Ltd,FIRST 4 CARE LIMITED
219,Bay View Child Care Limited,BAY VIEW CHILD CARE LIMITED
220,Motivations Activity Projects Ltd,MOTIVATIONS ACTIVITY PROJECTS LTD.
221,Cornerways childrens Services Limited,CORNERWAYS CHILDRENS SERVICES LIMITED
222,Keswick Care Limited,KESWICK CARE LIMITED
223,Amberleigh Care Limited,AMBERLEIGH CARE LIMITED
224,East Midlands Care Matters Limited,EAST MIDLANDS CARE MATTERS LIMITED
225,Wessex College,WESSEX COLLEGE LIMITED
226,Aspire Residential Care Home Ltd,ASPIRE RESIDENTIAL CARE HOME LTD
227,Ja Nailah Limited,JA NAILAH LIMITED
228,Esland South Limited,ESLAND SOUTH LIMITED
229,Springfield Road Childrens Homes Ltd,SPRINGFIELD ROAD CHILDRENS HOMES LTD
230,Social Care Services (clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED
231,Arnfield Care Limited,ARNFIELD CARE LIMITED
232,Enabling Futures Ltd,ENABLING FUTURES LTD
233,Footsteps A Path To Change 08 Limited,FOOTSTEPS A PATH TO CHANGE 08 LIMITED
234,Virgin Care Limited,HCRG CARE LTD
235,Friends Therapeutic Community Trust,FRIENDS THERAPEUTIC COMMUNITY TRUST
236,Frances House Ltd,FRANCES HOUSE LTD
237,Priors Court Foundation,PRIOR'S COURT FOUNDATION
238,Mulberry House Care Homes Limited,MULBERRY HOUSE CARE HOMES LIMITED
239,Full Circle Care,FULL CIRCLE CARE LTD
240,Hillcrest childrens Services (2) Ltd,HILLCREST CHILDRENS SERVICES (2) LIMITED
241,Mayne Enterprises Limited,MAYNE ENTERPRISES LIMITED
242,SWAAY Child and Adolescent Services Limited,SWAAY CHILD AND ADOLESCENT SERVICES LIMITED
243,Cherish Childrens Care Limited,CHERISH CHILDRENS CARE LTD
244,Adventure Care Limited,ADVENTURE CARE LIMITED
245,HORIZON RESIDENTIAL HOMES LIMITED,HORIZON RESIDENTIAL HOMES LIMITED
246,Keys Group Progressive Care & Education Limited,KEYS GROUP PROGRESSIVE CARE & EDUCATION LIMITED
248,McRae Residential Care Services Limited,MCRAE RESIDENTIAL CARE SERVICES LIMITED
249,Hollybank Trust,HOLLYBANK TRUST
250,ARC Adventure (Sussex) Ltd,ARC ADVENTURE (SUSSEX) LTD
251,New Horizons (nw) Ltd,NEW HORIZONS (NW) LTD
252,Barnardos,BARNARDOS - REPUBLIC OF IRELAND COMPANY LIMITED BY GUARANTEE
253,Winsbeach childrens Home Limited,WINSBEACH CHILDREN'S HOME LIMITED
254,Cambian Autism Services Limited,CAMBIAN AUTISM SERVICES LIMITED
255,Keys Specialist Residential childrens Services Ltd,KEYS SPECIALIST RESIDENTIAL CHILDREN'S SERVICES LTD
256,Acorn Homes (uk) Ltd,ACORN HOMES (U.K.) LIMITED
257,PIC childrens Services Limited,P.I.C. CHILDRENS' SERVICES LIMITED
258,Dalepeak Limited,DALEPEAK LIMITED
259,Idem Living Ltd,IDEM LIVING LTD
260,Serenity Specialist Care Limited,SERENITY SPECIALIST CARE LIMITED
261,St. Christophers Fellowship,ST.CHRISTOPHERS FELLOWSHIP
262,RUBICON CHILDREN & FAMILY SERVICES LIMITED,RUBICON CHILDREN & FAMILY SERVICES LIMITED
263,Castlecare Cymru Limited,CASTLECARE CYMRU LIMITED
264,Thunderbolt Mobile Limited,THUNDERBOLT MOBILE LIMITED
265,Bridge Communities Limited,BRIDGE COMMUNITIES LIMITED
266,Aspire Child Care Ltd,ASPIRE CHILD CARE LTD
267,Appletree Treatment Centre Limited,APPLETREE TREATMENT CENTRE LIMITED
268,Rowden House School Limited,ROWDEN HOUSE SCHOOL LIMITED
269,Mangrove Care Limited,MANGROVE CARE LTD
270,CareTech Community Services Limited,CARETECH COMMUNITY SERVICES LIMITED
271,Lodge Group Care UK Limited,LODGE GROUP CARE UK LIMITED
272,Independent Living Services (North West) Limited,INDEPENDENT LIVING SERVICES (NORTH WEST) LIMITED
273,Our Place (2008) Ltd,OUR PLACE (2008) LIMITED
274,Kisimul Group Limited,KISIMUL GROUP LIMITED
275,Area Camden Ltd,AREA CAMDEN LIMITED
276,Constant Child Care Ltd,NEXT STEPS AFTERCARE LIMITED
277,Park Lane Residential Home Limited,PARK LANE RESIDENTIAL HOME LIMITED
278,Supporting Futures Limited,SUPPORTING FUTURES LIMITED
279,Maple Leaf Care Limited,MAPLE LEAF CARE LIMITED
280,Willows (Devon) Limited,WILLOWS (DEVON) LIMITED
282,MIG House Residential Care Home Limited,MIG HOUSE RESIDENTIAL CARE HOME LIMITED
283,Westgate Lifestyle Project Limited,WESTGATE LIFESTYLE PROJECT LIMITED
284,Step-a-Side Company Limited,STEP-A-SIDE COMPANY LIMITED
285,Safehaven Residential and Respite Care Limited,SAFEHAVEN RESIDENTIAL AND RESPITE CARE LIMITED
286,Sandcastle Care Ltd,SANDCASTLE CARE LTD
287,Norwood Ravenswood,NORWOOD RAVENSWOOD
288,Harmony Childrens Services,HARMONY CHILDREN'S SERVICES LIMITED
289,Satash Community Care Project Limited,SATASH COMMUNITY CARE PROJECT LIMITED
290,Kisimul Group Ltd,KISIMUL GROUP LIMITED
291,Cruckton Hall Limited,CRUCKTON HALL LIMITED
292,Catholic Care (Diocese of Leeds),CATHOLIC CARE (DIOCESE OF LEEDS)
293,The SENAD Group Limited,THE SENAD GROUP LIMITED
294,Progressive Futures Care Limited,PROGRESSIVE FUTURES CARE LIMITED
295,Amelias House Limited,AMELIA HOUSE LIMITED
296,Stanfield Care Services Limited,STANFIELD CARE SERVICES LIMITED
297,Benjamin Uk Ltd,BENJAMIN UK LTD
298,PJL Healthcare Limited,PJL HEALTHCARE LIMITED
299,Horizon Care And Education Group Limited,HORIZON CARE AND EDUCATION GROUP LIMITED
300,Teen-Works Care Limited,TEEN-WORKS CARE LIMITED
301,Care Assist childrens Services Limited,CARE ASSIST CHILDRENS SERVICES LTD
302,White Orchid Care Limited,WHITE ORCHID CARE LIMITED
303,Cherry Trees Limited,CHERRY TREES
304,Creating Care Choices Limited,CREATING CARE CHOICES LIMITED
305,Lynstead Childrens Services Ltd,LYNSTEAD CHILDRENS SERVICES LTD
306,Ruskin Mill Trust Limited,RUSKIN MILL TRUST LIMITED
307,Birtenshaw,BIRTENSHAW
308,Chances CCFSS Limited,CHANCES CCFSS LIMITED
309,Acorn childrens Home (Burton) Ltd,ACORN CHILDREN'S HOME (BURTON) LTD
310,Royal Mencap Society,ROYAL MENCAP SOCIETY
311,Choices 4 Children Ltd,CHOICES 4 CHILDREN LTD
312,Ingleside childrens Home Limited,INGLESIDE CHILDREN'S HOME LTD
313,St Hill Establishments Ltd,ST HILL ESTABLISHMENTS LTD
314,Flying Spur Limited,FLYING SPUR LIMITED
315,Northern Life Care Limited,NORTHERN LIFE CARE LIMITED
316,The Senad Group Limited,THE SENAD GROUP LIMITED
317,Active 8 Care Ltd,KEYS ACTIVE 8 CARE LIMITED
318,Aston childrens Care Ltd,ASTON CHILDREN'S CARE LTD
319,New Start,NEW START HIGHLAND
320,Child First Limited,CHILD FIRST LIMITED
321,Hesley Services Limited,HESLEY SERVICES LIMITED
322,Heartwood Residential Services Ltd,HEARTWOOD RESIDENTIAL SERVICES LTD
323,National Autistic Society,NATIONAL AUTISTIC SOCIETY(THE)
324,Footsteps Care Homes Limited,FOOTSTEPS CARE HOMES LIMITED
325,Duty of Care Limited,DUTY OF CARE LIMITED
326,Diverse Abilities Plus Ltd.,DIVERSE ABILITIES PLUS LTD
327,The St Christopher School,SEN TRUST SOUTHEND
328,Country Care Childrens Homes Limited,COUNTRY CARE CHILDRENS HOMES LTD
329,Essandore Limited,ESSANDORE LIMITED
330,Anna House Limited,ANNA HOUSE LIMITED
331,Cherry Cottage Limited,CHERRY COTTAGE LIMITED
332,Rushcliffe Specialist Schools (Mickleover) Ltd,RUSHCLIFFE SPECIALIST SCHOOLS (MICKLEOVER) LIMITED
333,Chartwell Care Services Ltd,CHARTWELL CARE SERVICES LIMITED
334,Options Autism (5) Limited,OPTIONS AUTISM (5) LIMITED
335,Stepping Stones childrens Services Limited,STEPPING STONES CHILDREN'S SERVICES LTD
336,John-Edwards Care Homes Ltd,JOHN-EDWARDS CARE HOMES LTD
337,Carehome Limited,ANCHOR CAREHOMES LIMITED
338,Ownlife Limited,OWNLIFE LIMITED
339,PCT Care Services Limited,PCT CARE SERVICES LIMITED
340,New Horizons (stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD
341,Nestlings Care Ltd,NESTLINGS CARE LTD
342,Continuum Support - Care Services Ltd,CONTINUUM SUPPORT - CARE SERVICES LTD
343,Jamores Limited,JAMORES LIMITED
344,After Care (N W) Limited,AFTER CARE (N W) LIMITED
345,R Place Limited,R PLACE LIMITED
346,Kites Children Services Ltd,KITES CHILDRENS SERVICES LIMITED
347,Autism Initiatives (UK),AUTISM INITIATIVES (UK)
348,Hamelin Trust,HAMELIN TRUST
349,Lytham Care Limited,LYTHAM CARE LIMITED
350,Branas Isaf (holdings) Limited,BRANAS ISAF (HOLDINGS) LIMITED
351,Choices Home For Children Limited,CHOICES HOME FOR CHILDREN LIMITED
352,Praxis Care,PRAXIS CARE
353,Chailey Heritage Foundation,CHAILEY HERITAGE FOUNDATION
354,Greenacre Care Services Limited,GREENACRE CARE SERVICES LIMITED
355,The Place Young Peoples Company,THE PLACE YOUNG PEOPLES COMPANY LIMITED
356,White Lodge Centre,WHITE LODGE CENTRE
357,Whats Out There Limited,WHAT'S OUT THERE LIMITED
358,Tulip Care Two Limited,TULIP CARE TWO LIMITED
359,The Chiltern Centre for Disabled Children Limited,THE CHILTERN CENTRE LIMITED
360,Broadlands Hall Ltd,BROADLANDS HALL LIMITED
361,Oakfields childrens Care Limited,OAKFIELDS CHILDREN'S CARE LIMITED
362,Back on Track childrens Services SE Ltd,BACK ON TRACK CHILDREN'S SERVICES SE LTD
363,Quality Time Care Ltd,KEYS QTC LIMITED
364,Albrighton Care Ltd,ALBRIGHTON CARE LIMITED
365,Positive Steps (Care Services) Limited,POSITIVE STEPS (CARE SERVICES) LIMITED
366,Young Alliance Limited,YOUNG ALLIANCE LIMITED
367,Young Foundations Limited,YOUNG FOUNDATIONS LIMITED
368,Living Life (UK) Limited,LIVING LIFE (UK) LIMITED
369,Kedleston (Wings Education) Limited,KEDLESTON (WINGS EDUCATION) LIMITED
370,Kids,KIDS PLANET DAY NURSERIES LIMITED
371,OASIS CARE SERVICES LIMITED,OASIS CARE SERVICES LIMITED
372,Adecyn childrens Home Ltd,ADECYN CHILDREN'S HOME LTD
373,Tumblewood Project Ltd,WITHERSLACK WILTSHIRE LIMITED
374,Care Haven (UK) Ltd,CARE HAVEN (UK) LTD
376,The Cuckfield Care Consultancy Limited,THE CUCKFIELD CARE CONSULTANCY LIMITED
377,Building Bridges Care Homes Ltd,BUILDING BRIDGES (CARE HOMES) LIMITED
378,Nurture Childcare Services Ltd,NURTURE CHILDCARE SERVICES LTD
379,Oak House Childrens Homes Ltd,OAK HOUSE CHILDRENS HOME LTD
380,Eagle childrens Home,EAGLE CHILDRENS HOME LIMITED
381,The Sheiling Special Education Trust,THE SHEILING SPECIAL EDUCATION TRUST
382,2nd Nurture Ltd,2ND NURTURE LIMITED
383,Talbot House School Newcastle Upon Tyne,TALBOT HOUSE CHILDREN'S CHARITY LIMITED
384,CASC (Barrow) Limited,CASC (BARROW) LIMITED
385,Langley House (Harwich) Limited,LANGLEY HOUSE (HARWICH) LIMITED
386,Crusoe Care Limited,CRUSOE CARE LIMITED
387,Inspirations Leicestershire Limited,INSPIRATIONS LEICESTERSHIRE LIMITED
388,Livability,LIVABILITY
389,Island Choices Ltd,ISLAND CHOICES LTD
390,Silverlining Childcare,STRENGTHENING SUPPORT SERVICES LTD
391,Social Care Services Limited,SOCIAL CARE SERVICES LIMITED
392,Laurel Leaf Homes Ltd,LAUREL LEAF HOMES LTD
393,J & R Care Limited,J & R CARE LIMITED
394,Arronbeth Ltd,ARRONBETH LTD
395,Able Health Care Limited,CANE & ABLE HEALTH CARE LIMITED
396,Causeway Care Homes Ltd,CAUSEWAY CARE HOMES LTD
397,Tulip Care One Limited,TULIP CARE ONE LIMITED
398,The Rose Road Association,THE ROSE ROAD ASSOCIATION
399,Adeza Care Homes Limited,ADEZA CARE HOMES LIMITED
400,A Significant Other Limited,A SIGNIFICANT OTHER LIMITED
401,Care 4 Children Residential Services Ltd,YOUR CHAPTER LIMITED
402,Absolute childrens Services Ltd,ABSOLUTE CHILDRENS SERVICES LTD
403,Beacon ChildCare Ltd,BEACON CHILDCARE LTD
404,Pathway Care Solutions Group Limited,PATHWAY CARE SOLUTIONS GROUP LIMITED
405,The Daughters of the Cross of Liege,THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE
