"","Organisation_fame_search"
"271","CareTech Community Services Limited"
"272","Lodge Group Care UK Limited"
"273","Independent Living Services (North West) Limited"
"274","Our Place (2008) Ltd"
"275","Kisimul Group Limited"
"276","Area Camden Ltd"
"277","Constant Child Care Ltd"
"278","Park Lane Residential Home Limited"
"279","Supporting Futures Limited"
"280","Maple Leaf Care Limited"
"281","Willows (Devon) Limited"
"282","Owned by an individual"
"283","MIG House Residential Care Home Limited"
"284","Westgate Lifestyle Project Limited"
"285","Step-a-Side Company Limited"
"286","Safehaven Residential and Respite Care Limited"
"287","Sandcastle Care Ltd"
"288","Norwood Ravenswood"
"289","Harmony Childrens Services"
"290","Satash Community Care Project Limited"
"291","Kisimul Group Ltd"
"292","Cruckton Hall Limited"
"293","Catholic Care (Diocese of Leeds)"
"294","The SENAD Group Limited"
"295","Progressive Futures Care Limited"
"296","Amelias House Limited"
"297","Stanfield Care Services Limited"
"298","Benjamin Uk Ltd"
"299","PJL Healthcare Limited"
"300","Horizon Care And Education Group Limited"
"301","Teen-Works Care Limited"
"302","Care Assist childrens Services Limited"
"303","White Orchid Care Limited"
"304","Cherry Trees Limited"
"305","Creating Care Choices Limited"
"306","Lynstead Childrens Services Ltd"
"307","Ruskin Mill Trust Limited"
"308","Birtenshaw"
"309","Chances CCFSS Limited"
"310","Acorn childrens Home (Burton) Ltd"
"311","Royal Mencap Society"
"312","Choices 4 Children Ltd"
"313","Ingleside childrens Home Limited"
"314","St Hill Establishments Ltd"
"315","Flying Spur Limited"
"316","Northern Life Care Limited"
"317","The Senad Group Limited"
"318","Active 8 Care Ltd"
"319","Aston childrens Care Ltd"
"320","New Start"
"321","Child First Limited"
"322","Hesley Services Limited"
"323","Heartwood Residential Services Ltd"
"324","National Autistic Society"
"325","Footsteps Care Homes Limited"
"326","Duty of Care Limited"
"327","Diverse Abilities Plus Ltd."
"328","The St Christopher School"
"329","Country Care Childrens Homes Limited"
"330","Essandore Limited"
"331","Anna House Limited"
"332","Cherry Cottage Limited"
"333","Rushcliffe Specialist Schools (Mickleover) Ltd"
"334","Chartwell Care Services Ltd"
"335","Options Autism (5) Limited"
"336","Stepping Stones childrens Services Limited"
"337","John-Edwards Care Homes Ltd"
"338","Carehome Limited"
"339","Ownlife Limited"
"340","PCT Care Services Limited"
"341","New Horizons (stockport) Ltd"
"342","Nestlings Care Ltd"
"343","Continuum Support - Care Services Ltd"
"344","Jamores Limited"
"345","After Care (N W) Limited"
"346","R Place Limited"
"347","Kites Children Services Ltd"
"348","Autism Initiatives (UK)"
"349","Hamelin Trust"
"350","Lytham Care Limited"
"351","Branas Isaf (holdings) Limited"
"352","Choices Home For Children Limited"
"353","Praxis Care"
"354","Chailey Heritage Foundation"
"355","Greenacre Care Services Limited"
"356","The Place Young Peoples Company"
"357","White Lodge Centre"
"358","Whats Out There Limited"
"359","Tulip Care Two Limited"
"360","The Chiltern Centre for Disabled Children Limited"
"361","Broadlands Hall Ltd"
"362","Oakfields childrens Care Limited"
"363","Back on Track childrens Services SE Ltd"
"364","Quality Time Care Ltd"
"365","Albrighton Care Ltd"
"366","Positive Steps (Care Services) Limited"
"367","Young Alliance Limited"
"368","Young Foundations Limited"
"369","Living Life (UK) Limited"
"370","Kedleston (Wings Education) Limited"
"371","Kids"
"372","OASIS CARE SERVICES LIMITED"
"373","Adecyn childrens Home Ltd"
"374","Tumblewood Project Ltd"
"375","Care Haven (UK) Ltd"
"376","The Roman Catholic Dioscese of Arundel and Brighton"
"377","The Cuckfield Care Consultancy Limited"
"378","Building Bridges Care Homes Ltd"
"379","Nurture Childcare Services Ltd"
"380","Oak House Childrens Homes Ltd"
"381","Eagle childrens Home"
"382","The Sheiling Special Education Trust"
"383","2nd Nurture Ltd"
"384","Talbot House School Newcastle Upon Tyne"
"385","CASC (Barrow) Limited"
"386","Langley House (Harwich) Limited"
"387","Crusoe Care Limited"
"388","Inspirations Leicestershire Limited"
"389","Livability"
"390","Island Choices Ltd"
"391","Silverlining Childcare"
"392","Social Care Services Limited"
"393","Laurel Leaf Homes Ltd"
"394","J & R Care Limited"
"395","Arronbeth Ltd"
"396","Able Health Care Limited"
"397","Causeway Care Homes Ltd"
"398","Tulip Care One Limited"
"399","The Rose Road Association"
"400","Adeza Care Homes Limited"
"401","A Significant Other Limited"
"402","Care 4 Children Residential Services Ltd"
"403","Absolute childrens Services Ltd"
"404","BEACON CHILDCARE LTD"
"405","Pathway Care Solutions Group Limited"
"406","The Daughters of the Cross of Liege"
"407","Aurora Care Young Peoples Services"
"408","Footsteps To Futures Ltd"
"409","My Life-My Choice Limited"
"410","Clouds childrens Care Limited"
"411","Exeter Royal Academy For Deaf Education"
"412","Barford childrens Services Limited"
"413","Footsteps Care Limited"
"414","Kartikeya Solutions Limited"
"415","Platform Childcare Ltd"
"416","Inmind Childrens Services Limited"
"417","RNIB Charity"
"418","South West Childcare Services Ltd"
"419","Approach-Development (NE) Ltd"
"420","Family Child Care Ltd"
"421","Kedleston (High Peak School) Limited"
"422","Park Blue Homes Limited"
"423","Serenity Care Homes Ltd"
"424","MacIntyre Academies"
"425","Kattz Ltd"
"426","Positive Outcomes Childcare Ltd"
"427","North East Specialist Therapeutic Services CIC"
"428","Safe Base Care Limited"
"429","Hennessy Living Group Ltd"
"430","White Orchid Marston Moretaine Limited"
"431","Cambian Asperger Syndrome Services Limited"
"432","Exceptional Care Ltd"
"433","Life Change Care Limited"
"434","Carbrey Care Ltd"
"435","Holistic Approach Ltd"
"436","Icare childrens Services Ltd"
"437","Tlc Youth Care Limited"
"438","SLOUGH CHILDREN FIRST LIMITED ()"
"439","Lonsdale Care Ltd"
"440","Devon & Cornwall Autistic Community Trust"
"441","A&t Home Ltd"
"442","Quality Care Homes (uk) Limited"
"443","Sunderland Care And Support Limited"
"444","Kennet Care Limited"
"445","South West Mental Health Ltd"
"446","Next Stage 4 Life"
"447","River Valley Care Ltd"
"448","Headway House Limited"
"449","Resolute Care Ltd"
"450","Hygge Care Limited"
"451","Potensial Ltd"
"452","Broadwood Residential Ltd"
"453","Kingdom Care Childrens Homes Ltd"
"454","Harmony Residential Homes Ltd"
"455","Thornleigh Camphill Communities Ltd"
"456","Solent Child Care Ltd"
"457","Phoenix Care And Education Ltd"
"458","Personal Security Service Ltd"
"459","Aurora Care and Education Opco Limited"
"460","Sherlock Healthcare Services Ltd"
"461","In Safe Hands Care Ltd"
"462","G.V Kids Ltd"
"463","Friends Together Care Homes Ltd"
"464","The Percy Hedley Foundation"
"465","Children Of The Mangrove Limited"
"466","Happy Group (UK) Limited"
"467","Care 4 Children"
"468","Care 4 Children Holdco Limited"
"469","Treehouse Educare Limited"
"470","Future Focused Ltd"
"471","Headstart Care LLP"
"472","Keir Lock childrens Homes Ltd"
"473","Interactive Development Support Limited"
"474","Fonjocks Social Work Practice Limited"
"475","Inspire Care (uk) Limited"
"476","Netheredge Care Limited"
"477","EnhanceAble"
"478","Bayis Sheli Limited"
"479","Newrays Care Services Ltd"
"480","Aspire Care And Education Services"
"481","Evergreen childrens Home Ltd"
"482","Altum Residential Care Ltd"
"483","Chaigeley Educational Foundation"
"484","Caldecott Foundation Limited"
"485","Holly Lodge Home Limited"
"486","Sankofa Care Ltd"
"487","No. 57 Ltd"
"488","Stepping Stone childrens Homes Ltd"
"489","My3 Ltd"
"490","Haven Care Group Limited"
"491","Watermead Care Ltd"
"492","Partnerships In Care 1 Limited"
"493","West Cumbria Care And Support"
"494","Good News Nwk Ltd"
"495","Resilience North East Limited"
"496","Little Belsteads Care Home Limited"
"497","Headway Adolescent Resources Ltd"
"498","Achieving Aspirations Community Interest Company"
"499","T-junction childrens Services Ltd"
"500","Paddock House Limited"
