"","Organisation"
"390","The SENAD Group Limited"
"391","Progressive Futures Care Limited"
"392","Amelia's House Limited"
"393","Stanfield Care Services Limited"
"394","Buckinghamshire County Council"
"395","Benjamin Uk Ltd"
"396","PJL Healthcare Limited"
"397","Royal Borough of Kensington and Chelsea"
"398","Horizon Care And Education Group Limited"
"399","Teen-Works Care Limited"
"400","Care Assist Children's Services Limited"
"401","White Orchid Care Limited"
"402","Cherry Trees Limited"
"403","Birmingham City Council"
"404","Creating Care Choices Limited"
"405","Lynstead Childrens Services Ltd"
"406","Ruskin Mill Trust Limited"
"407","Birtenshaw - company number 02978546"
"408","Chances CCFSS Limited"
"409","Acorn Children's Home (Burton) Ltd"
"410","Royal Mencap Society"
"411","Choices 4 Children Ltd"
"412","The Governing Body of Woodland School"
"413","Cambridgeshire County Council"
"414","Gloucestershire County Council"
"415","Ingleside Children's Home Limited"
"416","St Hill Establishments Ltd"
"417","Flying Spur Limited"
"418","Northern Life Care Limited T/A UBU"
"419","The Senad Group Limited"
"420","Active 8 Care Ltd"
"421","Aston Children's Care Ltd"
"422","New Start"
"423","Child First Limited"
"424","Hesley Services Limited"
"425","Heartwood Residential Services Ltd"
"426","London Borough of Brent"
"427","National Autistic Society"
"428","Footsteps Care Homes Limited"
"429","Duty of Care Limited"
"430","Diverse Abilities Plus Ltd."
"431","The St Christopher School"
"432","Country Care Childrens Homes Limited"
"433","Reading Borough Council"
"434","Essandore Limited"
"435","Anna House Limited"
"436","Cherry Cottage Limited"
"437","Rushcliffe Specialist Schools (Mickleover) Ltd"
"438","Chartwell Care Services Ltd"
"439","Options Autism (5) Limited"
"440","London Borough of Croydon"
"441","Stepping Stones Children's Services Limited"
"442","John-Edwards Care Homes Ltd"
"443","Carehome Limited"
"444","Ownlife Limited 02932099"
"445","Rochdale Metropolitan Borough Council"
"446","PCT Care Services Limited"
"447","New Horizons (stockport) Ltd"
"448","Nestlings Care Ltd"
"449","London Borough of Barnet"
"450","Continuum Support - Care Services Ltd"
"451","Jamores Limited"
"452","Plymouth City Council"
"453","After Care (N W) Limited"
"454","R Place Limited"
"455","Kites Children Service's Ltd"
"456","Autism Initiatives (UK)"
"457","East Riding of Yorkshire Council"
"458","Hamelin Trust"
"459","London Borough of Waltham Forest"
"460","Wolverhampton City Council"
"461","Lytham Care Limited"
"462","Branas Isaf (holdings) Limited"
"463","Choices Home For Children Limited"
"464","Praxis Care"
"465","Chailey Heritage Foundation"
"466","The Governing Body of Bents Green School"
"467","Greenacre Care Services Limited"
"468","The Place Young Peoples Company"
"469","White Lodge Centre"
"470","What's Out There Limited"
"471","Tulip Care Two Limited"
"472","The Chiltern Centre for Disabled Children Limited"
"473","Broadlands Hall Ltd"
"474","Oakfields Children's Care Limited"
"475","Back on Track Children's Services SE Ltd"
"476","Quality Time Care Ltd"
"477","Albrighton Care Ltd"
"478","Leicestershire County Council"
"479","Positive Steps (Care Services) Limited"
"480","Young Alliance Limited"
"481","Young Foundations Limited"
"482","Living Life (UK) Limited"
"483","Kedleston (Wings Education) Limited"
"484","Kids"
"485","Oasis Young People's Care Services (uk) Ltd"
"486","Adecyn Children's Home Ltd"
"487","Tumblewood Project Ltd"
"488","Care Haven (UK) Ltd"
"489","The Roman Catholic Dioscese of Arundel and Brighton"
"490","The Cuckfield Care Consultancy Limited"
"491","Building Bridges Care Homes Ltd"
"492","Nurture Childcare Services Ltd"
"493","Oak House Childrens Homes Ltd"
"494","Royal Borough of Greenwich"
"495","Eagle Children's Home"
"496","The Sheiling Special Education Trust"
"497","2nd Nurture Ltd"
"498","Liverpool City Council"
"499","Talbot House School Newcastle Upon Tyne"
"500","CASC (Barrow) Limited"
