"","Organisation","Organisation_fame_search","Company.name"
"23","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED"
"24","Verve Life Limited","Verve Life Limited","VERVE LIFE LIMITED"
"25","Esland North Limited","Esland North Limited","ESLAND NORTH LIMITED"
"26","Artemis Support Ltd","Artemis Support Ltd","COMPASS CHILDREN'S HOMES NORTH EAST LIMITED"
"27","Hillcrest Children's Services Ltd","Hillcrest childrens Services Ltd","HILLCREST CHILDRENS SERVICES LIMITED"
"28","Moonreach Ltd","Moonreach Ltd","MOONREACH LIMITED"
"29","Crossway Services Limited","Crossway Services Limited","CROSSWAY SERVICES LIMITED"
"30","Roseberry Specialist Care Centres Ltd","Roseberry Specialist Care Centres Ltd","ROSEBERRY SPECIALIST CARE CENTRES LIMITED"
"31","Action For Children","Action For Children","ACTION FOR CHILDREN"
"32","Doncaster Children's Services Trust Limited","Doncaster childrens Services Trust Limited","DONCASTER CHILDREN'S SERVICES TRUST LIMITED"
"33","Quantum Care UK Limited","Quantum Care UK Limited","QUANTUM CARE (UK) LIMITED"
"34","Atlas Healthcare Ltd","Atlas Healthcare Ltd","ATLAS HEALTHCARE LIMITED"
"35","Arc Hd Services Ltd","Arc Hd Services Ltd","ARC HD SERVICES LIMITED"
"36","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED"
"37","Crossways Care Ltd","Crossways Care Ltd","KEYS CWC LIMITED"
"38","Witherslack Group Ltd","Witherslack Group Ltd","WITHERSLACK GROUP LIMITED"
"39","Shyne Together Limited","Shyne Together Limited","SHYNE TOGETHER LIMITED"
"40","Progressive Care Ltd","Progressive Care Ltd","PROGRESSIVE CARE LIMITED"
"41","Five Rivers Child Care Limited","Five Rivers Child Care Limited","FIVE RIVERS CHILD CARE LIMITED"
"42","Broadwood Education Services","KEYS EDUCATIONAL SERVICES LIMITED","KEYS EDUCATIONAL SERVICES LIMITED"
"43","ABC Care and Education Ltd","ABC Care and Education Ltd","ABC CARE AND EDUCATION LTD"
"44","Nh Care Limited","Nh Care Limited","NH CARE LIMITED"
"45","Benecare Limited","Benecare Limited","BENECARE LIMITED"
"46","Children and Family Services Limited","Children and Family Services Limited","CHILDREN AND FAMILY SERVICES LIMITED"
"47","Individual Specialist Care Ltd","Individual Specialist Care Ltd","INDIVIDUAL SPECIALIST CARE LTD"
"48","Little Acorns London Beach Farm Limited","Little Acorns London Beach Farm Limited","LITTLE ACORNS LONDON BEACH FARM LIMITED"
"49","Care Management Solutions Limited","Care Management Solutions Limited","CARE MANAGEMENT SOLUTIONS LIMITED"
"50","Carlisle Mencap Ltd","Carlisle Mencap Ltd","CARLISLE MENCAP LIMITED"
"51","Imap Centre Limited","Imap Centre Limited","IMAP CENTRE LIMITED"
"52","Southern Adolescent Care Services Ltd","Southern Adolescent Care Services Ltd","SOUTHERN ADOLESCENT CARE SERVICES LTD"
"53","Pathway Care Solutions Ii Ltd","Pathway Care Solutions Ii Ltd","PATHWAY CARE SOLUTIONS II LIMITED"
"54","Horizon Care Limited","Horizon Care Limited","HORIZON CARE LIMITED"
"55","Hillcrest Childrens Services Limited","Hillcrest Childrens Services Limited","HILLCREST CHILDRENS SERVICES LIMITED"
"56","Reamcare Limited","Reamcare Limited","REAMCARE LIMITED"
"57","Channels and Choices Limited","Channels and Choices Limited","CHANNELS AND CHOICES LIMITED"
"58","We Are Beams","We Are Beams","WE ARE BEAMS"
"59","St Christopher's Fellowship","St Christophers Fellowship","ST.CHRISTOPHERS FELLOWSHIP"
"60","Nugent Care","Nugent Care","NUGENT CARE 2019"
"61","Radical Services Ltd","Radical Services Ltd","RADICAL SERVICES LIMITED"
"62","The Children's Trust","The childrens Trust","THE CHILDREN'S TRUST"
"63","Daisybrook Limited","Daisybrook Limited","DAISYBROOK LIMITED"
"64","Partners in Care Limited","Partners in Care Limited","PARTNERS IN CARE LIMITED"
"65","Acorn Norfolk Limited","Acorn Norfolk Limited","ACORN NORFOLK LIMITED"
"66","Sherico Care Services Limited","Sherico Care Services Limited","SHERICO CARE SERVICES LIMITED"
"67","Castle Homes Limited","Castle Homes Limited","CASTLE HOMES LIMITED"
"68","Rosedale Children's Services Limited","Rosedale childrens Services Limited","ROSEDALE CHILDREN'S SERVICES LIMITED"
"69","Right-Trak Limited","Right-Trak Limited","RIGHT-TRAK LIMITED"
"70","Evolution Childrens Services Limited","Evolution Childrens Services Limited","EVOLUTION CHILDREN SERVICES LTD"
"71","Oracle Care Limited","Oracle Care Limited","ORACLE CARE LIMITED"
"72","Strode Park Foundation for People with Disabilities","Strode Park Foundation for People with Disabilities","STRODE PARK FOUNDATION FOR PEOPLE WITH DISABILITIES"
"73","Break","Break","BREAK"
"74","The Ryes College Limited","The Ryes College Limited","THE RYES COLLEGE LIMITED"
"75","G B A Care Ltd","G B A Care Ltd","G B A CARE LIMITED"
"76","Lifetime Opportunities Ltd","Lifetime Opportunities Ltd","LIFETIME OPPORTUNITIES LTD"
"77","Potton Homes Ltd","Potton Homes Ltd","POTTON HOMES LTD"
"78","Family Care Associates Limited","Family Care Associates Limited","FAMILY CARE ASSOCIATES LIMITED"
"79","Castle Homes Care Ltd","Castle Homes Care Ltd","CASTLE HOMES CARE LIMITED"
"80","Reflexion Care Group Limited","Reflexion Care Group Limited","REFLEXION CARE GROUP LIMITED"
"81","Keys Care Limited","Keys Care Limited","KEYS CARE LIMITED"
"82","Kedleston (Wood Grove Childcare) Ltd","Kedleston (Wood Grove Childcare) Ltd","KEDLESTON (WOOD GROVE CHILDCARE) LIMITED"
"83","Priory Education Services Limited 06244880","Priory Education Services Limited","ASPRIS CHILDREN'S SERVICES LIMITED"
"84","Ferndearle Child Care Services Limited","Ferndearle Child Care Services Limited","COMPASS CHILDREN'S HOMES KENT LIMITED"
"85","Jubilee House Care Trust Limited","Jubilee House Care Trust Limited","THE JUBILEE HOUSE CARE TRUST LIMITED"
"86","Longdon Hall School Limited","Longdon Hall School Limited","LONGDON HALL SCHOOL LIMITED"
"87","Hopscotch Care Limited","Hopscotch Care Limited","HOPSCOTCH CARE LIMITED"
"88","Consensus Support Services Ltd","Consensus Support Services Ltd","CONSENSUS SUPPORT SERVICES LIMITED"
"89","Plus One (South West) Ltd","Plus One (South West) Ltd","PLUS ONE (SOUTH WEST) LIMITED"
"90","Clover Childcare Services Ltd","Clover Childcare Services Ltd","CLOVER CHILDCARE SERVICES LIMITED"
"91","Care 2 Share 2 Ltd","Care 2 Share 2 Ltd","CARE 2 SHARE LIMITED"
"92","The Beeches UK Ltd","The Beeches UK Ltd","THE BEECHES UK LIMITED"
"93","Pathways Care Group Limited","Pathways Care Group Limited","PATHWAYS CARE GROUP LIMITED"
"94","Barnardiston Hall Preparatory School Limited","Barnardiston Hall Preparatory School Limited","BARNARDISTON HALL PREPARATORY SCHOOL LIMITED"
"95","Quality Protects Children Ltd","Quality Protects Children Ltd","QUALITY PROTECTS CHILDREN LTD"
"96","New Horizons Childcare Ltd","New Horizons Childcare Ltd","NEW HORIZON CHILDCARE LIMITED"
"97","The Drive Care Homes Ltd","The Drive Care Homes Ltd","THE DRIVE CARE HOMES LIMITED"
"98","Cambian Whinfell School Ltd","Cambian Whinfell School Ltd","CAMBIAN WHINFELL SCHOOL LIMITED"
"99","Roc Northwest Ltd","Roc Northwest Ltd","ROC NORTHWEST LIMITED"
"100","Prestige Adolescent Care And Education Limited","Prestige Adolescent Care And Education Limited","PRESTIGE ADOLESCENT CARE AND EDUCATION LIMITED"
"101","Doncaster Deaf Trust","Doncaster Deaf Trust","DONCASTER DEAF TRUST"
"102","Amos Aftercare Moving On Scheme Ltd","Amos Aftercare Moving On Scheme Ltd","AMOS AFTERCARE MOVING ON SCHEME LTD"
"103","Greenfields Adolescent Development Limited","Greenfields Adolescent Development Limited","GREENFIELDS ADOLESCENT DEVELOPMENT LIMITED"
"104","Aspire House Partnership","Aspire House Partnership",NA
"105","Fairfield Residential Ltd","Fairfield Residential Ltd","FAIRFIELD RESIDENTIAL LIMITED"
"106","Highfield (North East) Limited","Highfield (North East) Limited","HIGHFIELD (NORTH EAST) LIMITED"
"107","Alicie Enterprises Limited","Alicie Enterprises Limited","ALICIE ENTERPRISES LIMITED"
"108","Aspireone Care Ltd","Aspireone Care Ltd","ASPIREONE CARE LIMITED"
"109","Institute of Integrated Systemic Therapy","Institute of Integrated Systemic Therapy","INSTITUTE OF INTEGRATED SYSTEMIC THERAPY"
"110","My Choice Children's Homes Ltd","My Choice childrens Homes Ltd","MY CHOICE CHILDREN'S HOMES LIMITED"
"111","Semi-Independent House Limited","Semi-Independent House Limited","SEMI-INDEPENDENT HOUSE LIMITED"
"112","The Together Trust","The Together Trust","THE TOGETHER TRUST"
"113","Knossington Grange School Ltd","Knossington Grange School Ltd","KNOSSINGTON GRANGE SCHOOL LIMITED"
"114","The Qalb Short Break Services Ltd","The Qalb Short Break Services Ltd","THE QALB SHORT BREAK SERVICES LTD"
"115","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA
"116","The Vine Residential Services (TVRS) Ltd","The Vine Residential Services (TVRS) Ltd","THE VINE RESIDENTIAL SERVICES (TVRS) LTD"
"117","A J Residential Care Ltd","A J Residential Care Ltd","A J RESIDENTIAL CARE LTD"
"118","Channels and Choices Kent LLP","Channels and Choices Kent LLP","CHANNELS AND CHOICES KENT LLP"
"119","Unity Residential Care Services","Unity Residential Care Services","UNITY RESIDENTIAL CARE SERVICES LIMITED"
"120","Phoenix Child Care Limited","Phoenix Child Care Limited","PHOENIX CHILD CARE LIMITED"
"121","Grace Care Limited","Grace Care Limited","GRACE CARE LIMITED"
"122","Acorn Homes (UK) Limited","Acorn Homes (UK) Limited","ACORN HOMES (UK) LIMITED"
"123","Utopia Children's Services Ltd","Utopia childrens Services Ltd","UTOPIA CHILDRENS SERVICES LIMITED"
"124","Direct Care Ltd","Direct Care Ltd","DIRECT CARE LTD"
"125","Future In Mind Limited","Future In Mind Limited","FUTURE IN MIND LIMITED"
"126","North Lakes Children's Services Limited","North Lakes childrens Services Limited","NORTH LAKES CHILDRENS SERVICES LIMITED"
"127","Shalamar Children Limited","Shalamar Children Limited","SHALAMAR CHILDREN LIMITED"
"128","Merryvale Children's Home Limited","Merryvale childrens Home Limited",NA
"129","MacIntyre Care","MacIntyre Care","MACINTYRE CARE"
"130","Parkview Care (broadstairs) Limited","Parkview Care (broadstairs) Limited","PARKVIEW CARE (BROADSTAIRS) LIMITED"
"131","Capstone Care Provider Limited","Capstone Care Provider Limited","CAPSTONE CARE PROVIDER LIMITED"
"132","MGM Care Services Ltd","MGM Care Services Ltd","MGM CARE SERVICES LTD"
"133","Care And Management Services Limited","Care And Management Services Limited","CARE AND MANAGEMENT SERVICES LIMITED"
"134","Searchlight Care Services Ltd","Searchlight Care Services Ltd","SEARCHLIGHT CARE SERVICES LIMITED"
"135","Bright Futures Care Limited T/A Cornerstones","Bright Futures Care Limited","BRIGHT FUTURES CARE LIMITED"
"136","Inroads Essex Limited","Inroads Essex Limited","INROADS (ESSEX) LTD"
"137","Pine Forest Homes Limited","Pine Forest Homes Limited","PINE FOREST HOMES LIMITED"
"138","Calcot Services For Children Limited","Calcot Services For Children Limited","CALCOT SERVICES FOR CHILDREN LIMITED"
"139","Cotswold Chine School","Cotswold Chine School","NOVALIS TRUST"
"140","Platinum Services For Children (residential Care) Ltd","Platinum Services For Children (residential Care) Ltd","PLATINUM SERVICES FOR CHILDREN (RESIDENTIAL CARE) LIMITED"
"141","Underley Schools Limited","Underley Schools Limited","UNDERLEY SCHOOLS LIMITED"
"142","Outdoor Care Limited","Outdoor Care Limited","OUTDOOR CARE LTD"
"143","Delam Care Limited","Delam Care Limited","DELAM CARE LIMITED"
"144","Dove Adolescent Services Limited","Dove Adolescent Services Limited","DOVE ADOLESCENT SERVICES LIMITED"
"145","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED"
"146","Courtyard Care Limited","Courtyard Care Limited","COURTYARD CARE LIMITED"
"147","Pilgrims Corner Limited","Pilgrims Corner Limited","PILGRIMS CORNER LIMITED"
"148","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED"
"149","Tree House Care Fostering Solutions Ltd","TreeHouse Care Fostering Solutions Ltd","TREEHOUSE CARE FOSTERING SOLUTIONS LIMITED"
"150","Ronanda Limited","Ronanda Limited","RONANDA LIMITED"
"151","Blackford Education (schools) Ltd","Blackford Education (schools) Ltd","BLACKFORD EDUCATION (SCHOOLS) LIMITED"
"152","North East Autism Society","North East Autism Society","NORTH EAST AUTISM SOCIETY"
"153","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED"
"154","Keys Childcare Ltd","Keys Childcare Ltd","KEYS CHILDCARE (IRL) LIMITED"
"155","New Options Limited","New Options Limited","OPTIONS AUTISM (1) LIMITED"
"156","Halliwell Homes Limited","Halliwell Homes Limited","HALLIWELL HOMES LIMITED"
"157","Positive Pathways Limited","Positive Pathways Limited","POSITIVE PATHWAYS LIMITED"
"158","Acorn Care (UK) Limited","Acorn Care (UK) Limited","ACORN CARE (UK) LIMITED"
"159","One To One Crisis Intervention Ltd","One To One Crisis Intervention Ltd","ONE TO ONE CRISIS INTERVENTION LIMITED"
"160","Archways Care Ltd","Archways Care Ltd","ARCHWAYS CARE LTD"
"161","Educare Adolescent Services Limited","Educare Adolescent Services Limited","EDUCARE ADOLESCENT SERVICES LIMITED"
"162","Fairways Care (uk) Limited","Fairways Care (uk) Limited","FAIRWAYS CARE (UK) LIMITED"
"163","Active Ark Limited","Active Ark Limited","ACTIVE ARK LIMITED"
"164","Steps 4 Life Care Ltd","Steps 4 Life Care Ltd","STEPS 4 LIFE CARE LTD"
"165","Unique Care Homes Support Limited","Unique Care Homes Support Limited","UNIQUE CARE HOMES SUPPORT LIMITED"
"166","Heartwood RSW Ltd","Heartwood RSW Ltd","HEARTWOOD RSW LTD"
"167","Cove Care Residential Ltd","Cove Care Residential Ltd","COVE CARE RESIDENTIAL LIMITED"
"168","Marlowe Child & Family Services Limited","Marlowe Child & Family Services Limited","HARTMORE EDUCATION LIMITED"
"169","Care Management Group Limited","Care Management Group Limited","CARE MANAGEMENT GROUP LIMITED"
"170","M.J. Childrens Services Limited","M.J. Childrens Services Limited","M.J. CHILDRENS SERVICES LIMITED"
"171","Phoenix Learning And Care Ltd","Phoenix Learning And Care Ltd","PHOENIX LEARNING AND CARE LIMITED"
"172","Pebbles Care","Pebbles Care","PEBBLES CARE LIMITED"
"173","Bramley Care Limited","Bramley Care Limited","BRAMLEY CARE LIMITED"
"174","S P Homes Limited","S P Homes Limited","S P HOMES LIMITED"
"175","The Chartwell Group of Companies Limited","The Chartwell Group of Companies Limited","THE CHARTWELL GROUP OF COMPANIES LIMITED"
"176","Pathway Care Solutions Ltd 04004053","Pathway Care Solutions Ltd","PATHWAY CARE SOLUTIONS LIMITED"
"177","Considerate Care Limited","Considerate Care Limited","CONSIDERATE CARE LIMITED"
"178","Headway Adolescent Resources Limited","Headway Adolescent Resources Limited","HEADWAY ADOLESCENT RESOURCES LIMITED"
"179","Hopscotch Solutions Limited","Hopscotch Solutions Limited","HOPSCOTCH SOLUTIONS LIMITED"
"180","Aspirations Care Limited","Aspirations Care Limited","ASPIRATIONS CARE LIMITED"
"181","Interact Care Limited","Interact Care Limited","INTERACT CARE LIMITED"
"182","Sunfield Children's Homes Limited","Sunfield childrens Homes Limited","SUNFIELD CHILDRENS HOMES LIMITED"
"183","Blue Mountain Homes Ltd","Blue Mountain Homes Ltd","BLUE MOUNTAIN HOMES LTD."
"184","Nottinghamshire Ymca","Nottinghamshire Ymca","YMCA ROBIN HOOD GROUP"
"185","Cornerstone Children's Homes Limited","Cornerstone childrens Homes Limited","CORNERSTONE CHILDREN'S HOMES LIMITED"
"186","Fairport Care Services Ltd","Fairport Care Services Ltd","FAIRPORT CARE SERVICES LIMITED"
"187","The Amicus Community Arundel Limited","The Amicus Community Arundel Limited","THE AMICUS COMMUNITY ARUNDEL LIMITED"
"188","Beaufort Care Group","Beaufort Care Group","BEAUFORT CARE GROUP LIMITED"
"189","Spark Of Genius North East Llp","Spark Of Genius North East Llp","SPARK OF GENIUS NORTH EAST LLP"
"190","Woodside House Care Ltd","Woodside House Care Ltd","WOODSIDE HOUSE CARE LTD"
"191","A Wilderness Way Ltd","A Wilderness Way Ltd","A WILDERNESS WAY LIMITED"
"192","Lifeworks Charity Limited","Lifeworks Charity Limited","LIFEWORKS CHARITY LIMITED"
"193","Progress Care and Education Limited","Progress Care and Education Limited","PROGRESS CARE AND EDUCATION LIMITED"
"194","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED"
"195","Lioncare Limited","Lioncare Limited","LIONCARE LIMITED"
"196","Surecare Residential Ltd","Surecare Residential Ltd","SURECARE RESIDENTIAL LTD"
"197","Cambian Signpost Limited","Cambian Signpost Limited","CAMBIAN SIGNPOST LIMITED"
"198","Sea Shell Trust Limited","Sea Shell Trust Limited","SEASHELL TRUST"
"199","Compass Children's Homes Ltd","Compass childrens Homes Ltd","COMPASS CHILDREN'S HOMES LIMITED"
"200","Dmr Services Limited","Dmr Services Limited","DMR SERVICES LIMITED"
"201","Holme Farm Residential Village Limited","Holme Farm Residential Village Limited","HOLME FARM RESIDENTIAL VILLAGE LIMITED"
"202","Good Foundations Limited","Good Foundations Limited","GOOD FOUNDATIONS LIMITED"
"203","The Loddon Foundation Ltd","The Loddon Foundation Ltd","THE LODDON FOUNDATION LTD"
"204","Overley Hall School Limited","Overley Hall School Limited","OVERLEY HALL LIMITED"
"205","Alliance Care & Education Limited","Alliance Care & Education Limited","KEYS ACE LIMITED"
"206","SES Avocet Limited","SES Avocet Limited","SES AVOCET LIMITED"
"207","Hopedale Children and Family Services Limited","Hopedale Children and Family Services Limited","HOPEDALE CHILDREN AND FAMILY SERVICES LIMITED"
"208","Total Care Matters Limited","Total Care Matters Limited","TOTAL CARE MATTERS LTD"
"209","Holibrook House Limited","Holibrook House Limited","HOLIBROOK HOUSE LIMITED"
"210","3 Dimensions Care Limited","3 Dimensions Care Limited","3 DIMENSIONS CARE LIMITED"
"211","4d Care Ltd","4d Care Ltd","4D CARE LIMITED"
"212","Crystal Care Solutions Limited Company Number 05952454","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED"
"213","The Caldecott Foundation Limited","The Caldecott Foundation Limited","THE CALDECOTT FOUNDATION LIMITED"
"214","Broadwood Residential Limited","Broadwood Residential Limited","KEYS BR LIMITED"
"215","Oakley House Childrens Home Limited","Oakley House Childrens Home Limited","OAKLEY HOUSE CHILDRENS HOME LIMITED"
"216","Milestones Care Homes Limited","Milestones Care Homes Limited","MILESTONES CARE HOMES LTD"
"217","Pear Tree Projects Limited","Pear Tree Projects Limited","PEAR TREE PROJECTS LIMITED"
"218","First 4 Care Ltd","First 4 Care Ltd","FIRST 4 CARE LIMITED"
"219","Bay View Child Care Limited","Bay View Child Care Limited","BAY VIEW CHILD CARE LIMITED"
"220","Motivations Activity Projects Ltd","Motivations Activity Projects Ltd","MOTIVATIONS ACTIVITY PROJECTS LTD."
"221","Cornerways Children's Services Limited","Cornerways childrens Services Limited","CORNERWAYS CHILDRENS SERVICES LIMITED"
"222","Keswick Care Limited","Keswick Care Limited","KESWICK CARE LIMITED"
"223","Amberleigh Care Limited","Amberleigh Care Limited","AMBERLEIGH CARE LIMITED"
"224","East Midlands Care Matters Limited","East Midlands Care Matters Limited","EAST MIDLANDS CARE MATTERS LIMITED"
"225","Wessex College","Wessex College","WESSEX COLLEGE LIMITED"
"226","Aspire Residential Care Home Ltd","Aspire Residential Care Home Ltd","ASPIRE RESIDENTIAL CARE HOME LTD"
"227","Ja Nailah Limited","Ja Nailah Limited","JA NAILAH LIMITED"
"228","Esland South Limited","Esland South Limited","ESLAND SOUTH LIMITED"
"229","Springfield Road Childrens Homes Ltd","Springfield Road Childrens Homes Ltd","SPRINGFIELD ROAD CHILDRENS HOMES LTD"
"230","Social Care Services (clayton) Limited","Social Care Services (clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED"
"231","Arnfield Care Limited","Arnfield Care Limited","ARNFIELD CARE LIMITED"
"232","Enabling Futures Ltd","Enabling Futures Ltd","ENABLING FUTURES LTD"
"233","Footsteps A Path To Change 08 Limited","Footsteps A Path To Change 08 Limited","FOOTSTEPS A PATH TO CHANGE 08 LIMITED"
"234","Virgin Care Limited","Virgin Care Limited","HCRG CARE LTD"
"235","Friends Therapeutic Community Trust","Friends Therapeutic Community Trust","FRIENDS THERAPEUTIC COMMUNITY TRUST"
"236","Frances House Ltd","Frances House Ltd","FRANCES HOUSE LTD"
"237","Prior's Court Foundation","Priors Court Foundation","PRIOR'S COURT FOUNDATION"
"238","Mulberry House Care Homes Limited","Mulberry House Care Homes Limited","MULBERRY HOUSE CARE HOMES LIMITED"
"239","Full Circle Care","Full Circle Care","FULL CIRCLE CARE LTD"
"240","Hillcrest Children's Services (2) Ltd","Hillcrest childrens Services (2) Ltd","HILLCREST CHILDRENS SERVICES (2) LIMITED"
"241","Mayne Enterprises Limited","Mayne Enterprises Limited","MAYNE ENTERPRISES LIMITED"
"242","SWAAY Child and Adolescent Services Limited","SWAAY Child and Adolescent Services Limited","SWAAY CHILD AND ADOLESCENT SERVICES LIMITED"
"243","Cherish Childrens Care Limited","Cherish Childrens Care Limited","CHERISH CHILDRENS CARE LTD"
"244","Adventure Care Limited","Adventure Care Limited","ADVENTURE CARE LIMITED"
"245","Horizon Residential Children's Home","HORIZON RESIDENTIAL HOMES LIMITED","HORIZON RESIDENTIAL HOMES LIMITED"
"246","Keys Group Progressive Care & Education Limited","Keys Group Progressive Care & Education Limited","KEYS GROUP PROGRESSIVE CARE & EDUCATION LIMITED"
"247","Dame Hannah Roger's School","Dame Hannah Rogers School",NA
"248","McRae Residential Care Services Limited","McRae Residential Care Services Limited","MCRAE RESIDENTIAL CARE SERVICES LIMITED"
"249","Hollybank Trust 1043129","Hollybank Trust","HOLLYBANK TRUST"
"250","ARC Adventure (Sussex) Ltd","ARC Adventure (Sussex) Ltd","ARC ADVENTURE (SUSSEX) LTD"
"251","New Horizons (nw) Ltd","New Horizons (nw) Ltd","NEW HORIZONS (NW) LTD"
"252","Barnardo's","Barnardos","BARNARDOS - REPUBLIC OF IRELAND COMPANY LIMITED BY GUARANTEE"
"253","Winsbeach Children's Home Limited","Winsbeach childrens Home Limited","WINSBEACH CHILDREN'S HOME LIMITED"
"254","Cambian Autism Services Limited","Cambian Autism Services Limited","CAMBIAN AUTISM SERVICES LIMITED"
"255","Keys Specialist Residential Children's Services Ltd","Keys Specialist Residential childrens Services Ltd","KEYS SPECIALIST RESIDENTIAL CHILDREN'S SERVICES LTD"
"256","Acorn Homes (uk) Ltd","Acorn Homes (uk) Ltd","ACORN HOMES (U.K.) LIMITED"
"257","PIC Children's Services Limited","PIC childrens Services Limited","P.I.C. CHILDRENS' SERVICES LIMITED"
"258","Dalepeak Limited","Dalepeak Limited","DALEPEAK LIMITED"
"259","Idem Living Ltd","Idem Living Ltd","IDEM LIVING LTD"
"260","Serenity Specialist Care Limited","Serenity Specialist Care Limited","SERENITY SPECIALIST CARE LIMITED"
"261","St. Christophers Fellowship","St. Christophers Fellowship","ST.CHRISTOPHERS FELLOWSHIP"
"262","Rubicon Children's Homes Limited","RUBICON CHILDREN & FAMILY SERVICES LIMITED","RUBICON CHILDREN & FAMILY SERVICES LIMITED"
"263","Castlecare Cymru Limited","Castlecare Cymru Limited","CASTLECARE CYMRU LIMITED"
"264","Thunderbolt Mobile Limited","Thunderbolt Mobile Limited","THUNDERBOLT MOBILE LIMITED"
"265","Bridge Communities Limited","Bridge Communities Limited","BRIDGE COMMUNITIES LIMITED"
"266","Aspire Child Care Ltd","Aspire Child Care Ltd","ASPIRE CHILD CARE LTD"
"267","Appletree Treatment Centre Limited","Appletree Treatment Centre Limited","APPLETREE TREATMENT CENTRE LIMITED"
"268","Rowden House School Limited","Rowden House School Limited","ROWDEN HOUSE SCHOOL LIMITED"
"269","Mangrove Care Limited","Mangrove Care Limited","MANGROVE CARE LTD"
"270","CareTech Community Services Limited","CareTech Community Services Limited","CARETECH COMMUNITY SERVICES LIMITED"
"271","Lodge Group Care UK Limited","Lodge Group Care UK Limited","LODGE GROUP CARE UK LIMITED"
"272","Independent Living Services (North West) Limited","Independent Living Services (North West) Limited","INDEPENDENT LIVING SERVICES (NORTH WEST) LIMITED"
"273","Our Place (2008) Ltd","Our Place (2008) Ltd","OUR PLACE (2008) LIMITED"
"274","Kisimul Group Limited","Kisimul Group Limited","KISIMUL GROUP LIMITED"
"275","Area Camden Ltd","Area Camden Ltd","AREA CAMDEN LIMITED"
"276","Constant Child Care Ltd","Constant Child Care Ltd","NEXT STEPS AFTERCARE LIMITED"
"277","Park Lane Residential Home Limited","Park Lane Residential Home Limited","PARK LANE RESIDENTIAL HOME LIMITED"
"278","Supporting Futures Limited","Supporting Futures Limited","SUPPORTING FUTURES LIMITED"
"279","Maple Leaf Care Limited","Maple Leaf Care Limited","MAPLE LEAF CARE LIMITED"
"280","Willows (Devon) Limited","Willows (Devon) Limited","WILLOWS (DEVON) LIMITED"
"281","Owned by an individual","Owned by an individual",NA
