"","X","Company.name","PSC...Name","PSC...Address","PSC...Date.of.birth","PSC...Nationality","PSC...Country.of.residence","PSC...Nature.of.control","PSC...Type","City","Country"
"24",74,"BEAUFORT CARE GROUP LIMITED","Berlin Topco Limited","Unit 2 Hollygrove Business Park, Verwood Road, Ashley, Ringwood, BH24 2DB, England","","","","Ownership of shares - above 75%","Corporate entity",NA,"United Kingdom"
"25",76,"WILLOWS (DEVON) LIMITED","Willows 21 Limited","The Granary, Hinton Business Park, Tarrant Hinton, Blandford Forum, Dorset, DT11 8JF, United Kingdom","","","","Ownership of shares - above 75%","Corporate entity","Tarrant Hinton","United Kingdom"
"26",81,"OUR PLACE (2008) LIMITED","Our Place (2024) Limited","Our Place School, The Orchard, Bransford, Worcester, WR6 5JE, England","","","","Ownership of shares - between 50% and 75%","Corporate entity","Bransford","United Kingdom"
"27",NA,"PHYSIS GROUP (GB) LIMITED","Intrinsic Equity Limited","One Eleven, Edmund Street, Birmingham, B3 2HJ, England","","","","","Corporate entity",NA,"United Kingdom"
"28",88,"P BLOOM LIMITED","Outcomes First Midco Limited","Atria, Spa Road, Bolton, BL1 4AG, England","","","","Ownership of shares - above 75%","Corporate entity",NA,"United Kingdom"
"29",99,"HAVEN CARE GROUP LIMITED","Kianis Ltd","Kianis Ltd, Unit 6, Barberry Court, Centrum One Hundred, Burton On Trent, DE14 2UE, England","","","","Ownership of shares - between 25% and 50%","Corporate entity","Burton upon Trent","United Kingdom"
"30",NA,"HAVEN CARE GROUP LIMITED","Abbasi Investments Group Limited","Abbasi Investments Group Limited, Unit 6, Barberry Court, Centrum One Hundred, Burton On Trent, DE14 2UE, England","","","","","Corporate entity","Burton upon Trent","United Kingdom"
"31",111,"PROGRESS HOLDINGS CS LIMITED","Dhanoa Holdco 1 Limited","Progress House, 127 Millfields Road, Wolverhampton, West Midlands, WV4 6JG, United Kingdom","","","","Ownership of shares - above 75%","Corporate entity",NA,"United Kingdom"
"32",NA,"PCF RESIDENTIAL CHILDCARE LTD","Pcf Residential Childcare (Holdings) Ltd","37, Copthorne Road, Wolverhampton, WV3 0AB, England","","","","","Corporate entity",NA,"United Kingdom"
"33",130,"CHERRY CARE  CHILDREN'S HOME LTD","Kvitneva Ltd","94, Stamford Hill, London, N16 6XS, England","","","","Ownership of shares - between 25% and 50%","Corporate entity",NA,"United Kingdom"
"34",NA,"CHERRY CARE  CHILDREN'S HOME LTD","Skybro Estates Ltd","55, Linthorpe Road, London, N16 5QT, England","","","","","Corporate entity",NA,"United Kingdom"
"35",NA,"WITHERSLACK AGGREGATOR LIMITED","Mic Capital Partners Iii European Holdings Ltd","Level 6, Duo, 280 Bishopsgate, London, EC2M 4RB, England","","","","","Corporate entity",NA,"United Kingdom"
"36",146,"GSM ARDENT HOLDINGS LIMITED","Sslh Holdings Limited","C/O Jks Accountants Limited, 10 Duke Street, Liverpool, L1 5AS, England","","","","Ownership of shares - between 25% and 50%","Corporate entity",NA,"United Kingdom"
"37",NA,"GSM ARDENT HOLDINGS LIMITED","Gkt Enterprises Limited","C/O Jks Accountants Limited, 10 Duke Street, Liverpool, L1 5AS, England","","","","","Corporate entity",NA,"United Kingdom"
"38",NA,"GSM ARDENT HOLDINGS LIMITED","Mni Solutions Limited","320 Firecrest, Centre Park, Warrington, WA1 1RG, England","","","","","Corporate entity",NA,"United Kingdom"
"39",158,"OASIS TOPCO 1 LIMITED","Tpg Inc.","Suite 302, 4001 Kennett Pike, Wilmington, Delaware, 19807, United States","","","","Has significant influence or control","Corporate entity","Greenville","United States"
"40",173,"AUGUST EQUITY PARTNERS II EXECUTIVES PARTNERSHIP LP","August Equity Partners Ii Executives Gp Limited","50, Lothian Road, Festival Square, Edinburgh, EH3 9WJ, United Kingdom","","","","Has significant influence or control","Corporate entity",NA,"United Kingdom"
"41",NA,"AUGUST EQUITY PARTNERS II EXECUTIVES PARTNERSHIP LP","August Equity Partners Gp Llp","50, Lothian Road, Festival Square, Edinburgh, EH3 9WJ, United Kingdom","","","","","Corporate entity",NA,"United Kingdom"
