"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep"
"47","Third Sector","SC033467",8,"NEWCASTLE UPON TYNE","St Cuthbert's Care","25/06/2003","Good",2015-02-16,1,"2014-01-01",NA,NA
"48","Local Authority","SC476220",4,"SEFTON","Sefton Metropolitan Borough Council","10/04/2014","Good",2015-02-13,1,"2014-04-10","2020-09-02",NA
"49","Third Sector","SC469627",4,"CHESHIRE EAST",NA,NA,"Good",2015-02-12,1,"2014-01-01","2017-03-31",NA
"50","Local Authority","SC033808",7,"WAKEFIELD","Wakefield Metropolitan District Council","08/09/2003","Outstanding",2015-02-12,1,"2014-01-01",NA,NA
"51","For-profit","SC480784",4,"LEICESTERSHIRE",NA,NA,"Good",2015-02-12,1,"2014-09-08","2015-11-11",NA
"52","For-profit","SC448997",2,"KENT","Moonreach Ltd","06/06/2012","Good",2015-02-12,1,"2014-01-01",NA,NA
"53","For-profit","SC430002",6,"NORTH YORKSHIRE","Roseberry Specialist Care Centres Ltd","21/06/2011","Inadequate",2015-02-11,1,"2014-01-01","2021-06-07",NA
"54","Third Sector","SC004429",5,"WARWICKSHIRE","Action For Children","31/01/1994","Outstanding",2015-02-11,1,"2014-01-01",NA,NA
"55","Local Authority","SC034220",7,"NORTH YORKSHIRE","North Yorkshire County Council","14/10/2003","Good",2015-02-11,1,"2014-01-01",NA,NA
"56","For-profit","SC459934",6,"DERBYSHIRE","Quantum Care UK Limited","11/04/2013","Outstanding",2015-02-11,1,"2014-01-01","2019-04-26",NA
"57","For-profit","SC429762",10,"HARTLEPOOL","Atlas Healthcare Ltd","13/05/2013","Good",2015-02-10,1,"2014-01-01","2021-03-05",NA
"58","For-profit","SC480705",3,"HAMPSHIRE","Arc Hd Services Ltd","01/09/2014","Good",2015-02-10,1,"2014-09-01",NA,NA
"59","For-profit","SC450728",2,"CALDERDALE","Time-Out Children's Homes Limited","13/08/2012","Good",2015-02-10,1,"2014-01-01",NA,NA
"60","For-profit","SC431603",3,"LIVERPOOL",NA,NA,"Good",2015-02-09,1,"2014-01-01","2016-11-30",NA
"61","For-profit","SC036528",16,"DEVON",NA,NA,"Inadequate",2015-02-09,1,"2014-01-01","2017-09-29",NA
"62","For-profit","SC480422",6,"CUMBRIA","Witherslack Group Ltd","28/07/2014","Good",2015-02-06,1,"2014-07-28",NA,NA
"63","Third Sector","SC441865",3,"NOTTINGHAMSHIRE","Shyne Together Limited","29/07/2012","Good",2015-02-06,1,"2014-01-01",NA,NA
"64","Local Authority","SC059853",6,"BOLTON","Bolton Metropolitan Borough Council","26/05/2004","Outstanding",2015-02-05,1,"2014-01-01",NA,NA
"65","For-profit","SC428196",4,"LANCASHIRE",NA,NA,"Inadequate",2015-02-05,1,"2014-01-01","2015-04-17",NA
"66","For-profit","SC025938",6,"REDBRIDGE","Five Rivers Child Care Limited","09/08/1996","Good",2015-02-05,1,"2014-01-01","2021-09-24",NA
"67","Local Authority","SC034162",7,"WAKEFIELD","Wakefield Metropolitan District Council","24/07/2003","Outstanding",2015-02-05,1,"2014-01-01",NA,NA
"68","Third Sector","SC008596",8,"STOCKPORT",NA,NA,"Good",2015-02-05,1,"2014-01-01","2016-07-13",NA
"69","For-profit","SC443765",3,"CUMBRIA","ABC Care and Education Ltd","09/05/2012","Good",2015-02-05,1,"2014-01-01",NA,NA
"70","For-profit","SC457776",3,"LEICESTERSHIRE",NA,NA,"Inadequate",2015-02-05,1,"2014-01-01","2016-07-11",NA
"71","For-profit","SC432966",4,"BIRMINGHAM","Nh Care Limited","27/07/2011","Good",2015-02-04,1,"2014-01-01",NA,NA
"72","For-profit","SC357981",4,"KENT","Benecare Limited","03/09/2007","Inadequate",2015-02-04,1,"2014-01-01",NA,NA
"73","For-profit","SC422346",4,"NORFOLK",NA,NA,"Good",2015-02-04,1,"2014-01-01","2016-02-15",NA
"74","For-profit","SC461716",1,"LIVERPOOL",NA,NA,"Good",2015-02-03,1,"2014-01-01","2015-07-11",NA
"75","For-profit","SC462631",3,"CROYDON","","11/09/2013","Good",2015-02-03,1,"2014-01-01",NA,NA
"76","For-profit","SC028599",4,"LUTON","Children and Family Services Limited","01/05/2002","Good",2015-02-03,1,"2014-01-01",NA,NA
"77","For-profit","SC481152",6,"CHESHIRE EAST","Hexagon Care Services Limited","08/09/2014","Good",2015-02-03,1,"2014-09-08",NA,NA
"78","For-profit","SC476289",5,"DERBYSHIRE","Cambian Childcare Ltd","15/01/2015","Good",2015-02-03,1,"2015-01-15",NA,NA
"79","For-profit","SC063080",5,"CROYDON",NA,NA,"Good",2015-02-02,1,"2014-01-01","2017-01-04",NA
"80","For-profit","SC434837",3,"READING",NA,NA,"Inadequate",2015-02-02,1,"2014-01-01","2016-08-09",NA
"81","Local Authority","SC059203",6,"NORTHUMBERLAND","Northumberland County Council","15/06/2004","Outstanding",2015-01-31,1,"2014-01-01",NA,NA
"82","For-profit","SC481295",5,"CHESHIRE WEST AND CHESTER","Imap Centre Limited","23/09/2014","Good",2015-01-30,1,"2014-09-23",NA,NA
"83","Local Authority","SC034797",6,"NORFOLK","Norfolk County Council Children's Services","24/12/2003","Good",2015-01-30,1,"2014-01-01",NA,NA
"84","For-profit","SC061795",6,"WEST SUSSEX","Southern Adolescent Care Services Ltd","08/09/2004","Good",2015-01-29,1,"2014-01-01",NA,NA
"85","For-profit","SC391594",3,"SHEFFIELD","Pathway Care Solutions Ii Ltd","05/06/2009","Good",2015-01-29,1,"2014-01-01",NA,NA
"86","Local Authority","SC040132",4,"CORNWALL","Cornwall Council","15/07/2003","Inadequate",2015-01-29,1,"2014-01-01",NA,NA
"87","For-profit","SC482293",6,"HAMPSHIRE","Hillcrest Childrens Services Limited","22/09/2014","Good",2015-01-29,1,"2014-09-22",NA,NA
"88","Local Authority","SC359836",6,"LANCASHIRE","Lancashire County Council","05/09/2007","Good",2015-01-29,1,"2014-01-01",NA,NA
"89","Local Authority","SC040982",5,"WIGAN","Wigan Council","30/05/2003","Outstanding",2015-01-29,1,"2014-01-01",NA,NA
"90","For-profit","SC408584",3,"KENT","Channels and Choices Limited","03/06/2010","Good",2015-01-29,1,"2014-01-01",NA,NA
"91","For-profit","SC434806",3,"LEICESTERSHIRE","Cambian Childcare Ltd","15/09/2011","Good",2015-01-29,1,"2014-01-01",NA,NA
"92","For-profit","SC475706",7,"DURHAM","Witherslack Group Ltd","28/05/2014","Good",2015-01-29,1,"2014-05-28",NA,NA
"93","Third Sector","SC459857",8,"EALING","St Christopher's Fellowship","26/04/2013","Good",2015-01-29,1,"2014-01-01",NA,NA
"94","Third Sector","SC024376",9,"SUFFOLK",NA,NA,"Good",2015-01-28,1,"2014-01-01","2017-06-05",NA
"95","Third Sector","SC025395",25,"SEFTON","Nugent Care","19/02/2002","Outstanding",2015-01-28,1,"2014-01-01",NA,NA
"96","Third Sector","SC038163",10,"BEXLEY",NA,NA,"Good",2015-01-28,1,"2014-01-01","2017-06-12",NA
"97","For-profit","SC061158",1,"CUMBRIA","Radical Services Ltd","20/05/2004","Outstanding",2015-01-28,1,"2014-01-01",NA,NA
"98","Third Sector","SC062079",33,"SURREY","The Children's Trust","29/12/2005","Good",2015-01-28,1,"2014-01-01",NA,NA
"99","For-profit","SC465579",3,"KENT","Benecare Limited","16/08/2013","Good",2015-01-28,1,"2014-01-01",NA,NA
"100","For-profit","SC466515",3,"WOLVERHAMPTON",NA,NA,"Inadequate",2015-01-28,1,"2014-01-01","2015-08-07",NA
"101","For-profit","SC005041",10,"STAFFORDSHIRE","Daisybrook Limited","17/02/1997","Good",2015-01-28,1,"2014-01-01",NA,NA
"102","For-profit","SC480161",6,"TAMESIDE","Hexagon Care Services Limited","10/09/2014","Outstanding",2015-01-28,1,"2014-09-10",NA,NA
"103","Third Sector","SC022448",12,"ST HELENS","Nugent Care","18/02/2002","Good",2015-01-28,1,"2014-01-01",NA,NA
"104","For-profit","SC035049",3,"CUMBRIA","Partners in Care Limited","13/08/2002","Outstanding",2015-01-28,1,"2014-01-01",NA,NA
"105","Local Authority","SC051856",4,"WIGAN","Wigan Council","22/01/2004","Good",2015-01-28,1,"2014-01-01",NA,NA
"106","For-profit","SC435322",40,"NORFOLK","Acorn Norfolk Limited","15/09/2011","Good",2015-01-28,1,"2014-01-01","2022-11-22",NA
"107","For-profit","SC010700",3,"ENFIELD","Sherico Care Services Limited","20/12/2001","Good",2015-01-27,1,"2014-01-01","2020-09-30",NA
"108","For-profit","SC413085",3,"KENT","Castle Homes Limited","23/06/2010","Good",2015-01-27,1,"2014-01-01",NA,NA
"109","For-profit","SC482301",6,"HAMPSHIRE","Hillcrest Childrens Services Limited","22/09/2014","Good",2015-01-27,1,"2014-09-22",NA,NA
"110","Local Authority","SC403850",6,"KENT","Kent County Council","02/02/2010","Good",2015-01-27,1,"2014-01-01",NA,NA
"111","For-profit","SC363395",4,"SOMERSET",NA,NA,"Good",2015-01-27,1,"2014-01-01","2017-12-31",NA
"112","For-profit","SC456724",4,"WEST SUSSEX",NA,NA,"Outstanding",2015-01-27,1,"2014-01-01","2017-03-01",NA
"113","For-profit","SC062939",3,"KIRKLEES","Rosedale Children's Services Limited","06/01/2005","Outstanding",2015-01-27,1,"2014-01-01","2019-10-07",NA
"114","Third Sector","SC438756",5,"CAMBRIDGESHIRE","Action For Children","24/10/2011","Good",2015-01-27,1,"2014-01-01","2020-09-03",NA
"115","Local Authority","SC441973",5,"CUMBRIA",NA,NA,"Good",2015-01-27,1,"2014-01-01","2017-01-17",NA
"116","Local Authority","SC442886",4,"STOCKTON ON TEES","Stockton on Tees Borough Council","15/03/2012","Outstanding",2015-01-27,1,"2014-01-01",NA,NA
"117","For-profit","SC465475",6,"NEWCASTLE UPON TYNE","Right-Trak Limited","26/07/2013","Good",2015-01-26,1,"2014-01-01",NA,NA
"118","Local Authority","SC472449",6,"NORTH LINCOLNSHIRE","North Lincolnshire Council","10/12/2013","Good",2015-01-26,1,"2014-01-01",NA,NA
"119","Local Authority","SC036023",8,"SHEFFIELD","Sheffield City Council","27/03/2003","Outstanding",2015-01-26,1,"2014-01-01",NA,NA
"120","For-profit","SC382595",5,"NEWCASTLE UPON TYNE","Evolution Childrens Services Limited","23/10/2008","Good",2015-01-26,1,"2014-01-01",NA,NA
"121","For-profit","SC421531",3,"CENTRAL BEDFORDSHIRE","Oracle Care Limited","15/11/2010","Good",2015-01-26,1,"2014-01-01",NA,NA
"122","Third Sector","SC425786",9,"KENT","Strode Park Foundation for People with Disabilities","30/03/2011","Good",2015-01-26,1,"2014-01-01",NA,NA
"123","Third Sector","SC060034",6,"NORFOLK","Break","13/08/2004","Good",2015-01-23,1,"2014-01-01",NA,NA
"124","Local Authority","SC428084",7,"WAKEFIELD","Wakefield Metropolitan District Council","27/04/2011","Outstanding",2015-01-23,1,"2014-01-01",NA,NA
"125","For-profit","SC429702",4,"SUFFOLK","The Ryes College Limited","27/04/2011","Good",2015-01-23,1,"2014-01-01",NA,NA
"126","For-profit","SC462593",4,"CALDERDALE","G B A Care Ltd","17/04/2013","Outstanding",2015-01-23,1,"2014-01-01",NA,NA
"127","Local Authority","SC035678",9,"EALING",NA,NA,"Inadequate",2015-01-23,1,"2014-01-01","2016-07-24",NA
"128","For-profit","SC063103",5,"LANCASHIRE","Lifetime Opportunities Ltd","21/03/2005","Outstanding",2015-01-23,1,"2014-01-01",NA,NA
"129","For-profit","SC068645",5,"WILTSHIRE",NA,NA,"Good",2015-01-22,1,"2014-01-01","2016-03-31",NA
"130","For-profit","SC393940",5,"ESSEX","Potton Homes Ltd","29/05/2009","Outstanding",2015-01-22,1,"2014-01-01",NA,NA
"131","Local Authority","SC033662",16,"BIRMINGHAM",NA,NA,"Good",2015-01-22,1,"2014-01-01","2018-03-21",NA
"132","Local Authority","SC033840",9,"MIDDLESBROUGH","Middlesbrough Borough Council","29/04/2003","Good",2015-01-22,1,"2014-01-01",NA,NA
"133","For-profit","SC063380",4,"TELFORD AND WREKIN","Family Care Associates Limited","16/03/2005","Good",2015-01-22,1,"2014-01-01",NA,NA
"134","Local Authority","SC063550",6,"ST HELENS","St Helens Metropolitan Borough Council","22/03/2005","Good",2015-01-22,1,"2014-01-01",NA,NA
"135","For-profit","SC032083",2,"CHESHIRE WEST AND CHESTER","Castle Homes Care Ltd","27/06/2002","Good",2015-01-22,1,"2014-01-01",NA,NA
"136","For-profit","SC366107",3,"SHROPSHIRE","Reflexion Care Group Limited","07/01/2008","Good",2015-01-22,1,"2014-01-01","2022-03-31",NA
"137","For-profit","SC423453",4,"ESSEX","Kedleston (Wood Grove Childcare) Ltd","25/03/2011","Outstanding",2015-01-22,1,"2014-01-01",NA,NA
"138","For-profit","SC407790",5,"SOUTHAMPTON","Priory Education Services Limited 06244880","24/03/2010","Good",2015-01-22,1,"2014-01-01",NA,NA
"139","Local Authority","SC458025",2,"STOKE ON TRENT",NA,NA,"Good",2015-01-22,1,"2014-01-01","2017-06-16",NA
"140","For-profit","SC460973",3,"SHROPSHIRE","Reflexion Care Group Limited","24/04/2013","Good",2015-01-21,1,"2014-01-01",NA,NA
"141","Third Sector","SC019441",5,"HERTFORDSHIRE","Jubilee House Care Trust Limited","29/12/1998","Good",2015-01-21,1,"2014-01-01",NA,NA
"142","Local Authority","SC034108",6,"TAMESIDE","Tameside Mbc","10/09/2003","Outstanding",2015-01-21,1,"2014-01-01",NA,NA
"143","For-profit","SC478001",4,"STAFFORDSHIRE","Longdon Hall School Limited","11/07/2014","Good",2015-01-21,1,"2014-07-11","2023-03-25",NA
"144","For-profit","SC479632",5,"CUMBRIA","Hopscotch Care Limited","06/08/2014","Good",2015-01-21,1,"2014-08-06",NA,NA
"145","For-profit","SC059437",3,"SOMERSET","Crossways Care Ltd",NA,"Inadequate",2015-01-21,1,"2014-01-01","2018-05-15",NA
"146","For-profit","SC456225",4,"BIRMINGHAM",NA,NA,"Inadequate",2015-01-21,1,"2014-01-01","2015-04-29",NA
"147","For-profit","SC363384",4,"NOTTINGHAMSHIRE","Broadwood Education Services","07/09/2007","Good",2015-01-21,1,"2014-01-01",NA,NA
"148","For-profit","SC398947",6,"DURHAM",NA,NA,"Good",2015-01-21,1,"2014-01-01","2016-07-31",NA
"149","For-profit","SC424897",5,"NORFOLK","Clover Childcare Services Ltd","26/04/2011","Outstanding",2015-01-21,1,"2014-01-01",NA,NA
"150","Local Authority","SC040583",3,"STOCKTON ON TEES","Stockton on Tees Borough Council","29/01/2003","Outstanding",2015-01-21,1,"2014-01-01",NA,NA
"151","For-profit","SC052946",5,"REDBRIDGE","Care 2 Share 2 Ltd","08/12/2003","Outstanding",2015-01-21,1,"2014-01-01",NA,NA
"152","For-profit","SC053529",5,"PETERBOROUGH","The Beeches UK Ltd","18/12/2003","Good",2015-01-21,1,"2014-01-01",NA,NA
"153","For-profit","SC386810",1,"ST HELENS","Crossway Services Limited","13/01/2009","Good",2015-01-21,1,"2014-01-01",NA,NA
"154","For-profit","SC411054",2,"STAFFORDSHIRE","Horizon Care Limited","28/05/2010","Outstanding",2015-01-21,1,"2014-01-01","2020-05-05",NA
"155","For-profit","SC434517",4,"KENT","Channels and Choices Limited","23/12/2011","Good",2015-01-21,1,"2014-01-01",NA,NA
"156","Local Authority","SC033152",6,"NORTH LINCOLNSHIRE","North Lincolnshire Council","18/05/2004","Good",2015-01-20,1,"2014-01-01",NA,NA
"157","For-profit","SC429778",15,"STOCKTON ON TEES","Atlas Healthcare Ltd","15/08/2011","Good",2015-01-20,1,"2014-01-01","2021-03-05",NA
"158","Local Authority","SC034205",3,"NORTH YORKSHIRE",NA,NA,"Good",2015-01-20,1,"2014-01-01","2015-04-07",NA
"159","Local Authority","SC032600",5,"HOUNSLOW","London Borough of Hounslow","01/08/2003","Good",2015-01-20,1,"2014-01-01",NA,NA
"160","For-profit","SC457012",3,"ESSEX","Cambian Childcare Ltd","22/02/2013","Good",2015-01-20,1,"2014-01-01",NA,NA
"161","Local Authority","SC439282",4,"KENT","Kent County Council","20/02/2012","Good",2015-01-20,1,"2014-01-01",NA,NA
"162","Local Authority","SC033367",6,"KIRKLEES","Kirklees Council","07/10/2003","Good",2015-01-19,1,"2014-01-01",NA,NA
"163","Local Authority","SC033432",6,"BLACKPOOL","Blackpool Borough Council","24/10/2003","Outstanding",2015-01-19,1,"2014-01-01","2020-04-29",NA
"164","For-profit","SC434100",3,"ENFIELD",NA,NA,"Inadequate",2015-01-19,1,"2014-01-01","2016-11-07",NA
"165","For-profit","SC405448",5,"KNOWSLEY","Quality Protects Children Ltd","20/04/2010","Good",2015-01-19,1,"2014-01-01",NA,NA
"166","Local Authority","SC040719",3,"BOLTON","Bolton Metropolitan Borough Council","18/07/2003","Outstanding",2015-01-18,1,"2014-01-01",NA,NA
"167","For-profit","SC362094",2,"SHROPSHIRE","New Horizons Childcare Ltd","19/11/2007","Good",2015-01-16,1,"2014-01-01",NA,NA
"168","For-profit","SC063689",6,"KENT","The Drive Care Homes Ltd","29/09/2005","Good",2015-01-16,1,"2014-01-01",NA,NA
"169","For-profit","SC066821",14,"CUMBRIA","Cambian Whinfell School Ltd","18/04/2006","Outstanding",2015-01-16,1,"2014-01-01",NA,NA
"170","For-profit","SC419334",4,"BROMLEY","Castle Homes Limited","18/11/2010","Good",2015-01-16,1,"2014-01-01",NA,NA
"171","Local Authority","SC369857",5,"BOLTON","Bolton Metropolitan Borough Council","18/06/2008","Outstanding",2015-01-15,1,"2014-01-01",NA,NA
"172","For-profit","SC414369",2,"CUMBRIA",NA,NA,"Good",2015-01-15,1,"2014-01-01","2015-11-12",NA
"173","For-profit","SC464809",5,"LANCASHIRE","Roc Northwest Ltd","25/06/2013","Good",2015-01-15,1,"2014-01-01",NA,NA
"174","For-profit","SC028526",2,"EAST SUSSEX","Anderida Adolescent Care","01/05/2002","Outstanding",2015-01-15,1,"2014-01-01",NA,NA
"175","For-profit","SC420876",4,"STAFFORDSHIRE","Prestige Adolescent Care And Education Limited","20/12/2010","Good",2015-01-15,1,"2014-01-01",NA,NA
"176","Local Authority","SC040633",5,"SURREY","Surrey County Council","05/12/2003","Outstanding",2015-01-15,1,"2014-01-01",NA,NA
"177","Local Authority","SC442279",4,"GLOUCESTERSHIRE",NA,NA,"Outstanding",2015-01-15,1,"2014-01-01","2016-02-08",NA
"178","Third Sector","SC035241",5,"DONCASTER","Doncaster Deaf Trust","13/06/2003","Good",2015-01-14,1,"2014-01-01",NA,NA
"179","For-profit","SC429011",3,"BUCKINGHAMSHIRE","Keys Care Limited","02/06/2011","Good",2015-01-14,1,"2014-01-01",NA,NA
"180","For-profit","SC429748",4,"SUFFOLK","The Ryes College Limited","22/07/2011","Good",2015-01-14,1,"2014-01-01",NA,NA
"181","Local Authority","SC431696",10,"BRADFORD","Bradford Childrens Specialist Service","10/06/2011","Good",2015-01-14,1,"2014-01-01",NA,NA
"182","For-profit","SC433923",4,"HEREFORDSHIRE","Greenfields Adolescent Development Limited",NA,"Inadequate",2015-01-14,1,"2014-01-01","2018-10-01",NA
"183","For-profit","SC462951",3,"ESSEX","ERA Care Limited 5921904","28/06/2013","Good",2015-01-14,1,"2014-01-01",NA,NA
"184","For-profit","SC467004",5,"BRENT","Aspire House Partnership",NA,"Inadequate",2015-01-14,1,"2014-01-01","2018-05-31",NA
"185","Third Sector","SC020563",5,"TELFORD AND WREKIN",NA,NA,"Good",2015-01-14,1,"2014-01-01","2016-03-31",NA
"186","For-profit","SC480236",4,"LANCASHIRE",NA,NA,"Good",2015-01-14,1,"2014-10-30","2017-09-13",NA
"187","For-profit","SC063498",1,"ST HELENS","Crossway Services Limited","17/01/2005","Good",2015-01-14,1,"2014-01-01",NA,NA
"188","Local Authority","SC034609",6,"ISLINGTON",NA,NA,"Good",2015-01-14,1,"2014-01-01","2016-07-25",NA
"189","For-profit","SC356327",3,"STAFFORDSHIRE","Oracle Care Limited","03/07/2007","Good",2015-01-14,1,"2014-01-01",NA,NA
"190","Third Sector","SC424271",4,"NORFOLK","Break","02/02/2011","Good",2015-01-14,1,"2014-01-01",NA,NA
"191","For-profit","SC425599",1,"SHROPSHIRE",NA,NA,"Good",2015-01-14,1,"2014-01-01","2015-07-31",NA
"192","Third Sector","SC426172",6,"HERTFORDSHIRE","Action For Children","06/04/2011","Good",2015-01-14,1,"2014-01-01","2022-03-31",NA
"193","Local Authority","SC041018",6,"WIGAN",NA,NA,"Good",2015-01-14,1,"2014-01-01","2016-07-31",NA
"194","For-profit","SC387148",5,"TRAFFORD","Fairfield Residential Ltd","01/12/2008","Good",2015-01-14,1,"2014-01-01",NA,NA
"195","For-profit","SC408656",4,"REDCAR AND CLEVELAND","Highfield (North East) Limited","01/06/2010","Outstanding",2015-01-14,1,"2014-01-01",NA,NA
"196","For-profit","SC457327",3,"SOMERSET","Cambian Childcare Ltd","22/02/2013","Good",2015-01-14,1,"2014-01-01",NA,NA
"197","For-profit","SC023739",3,"KENT","Ethelbert Specialist Homes Limited","11/07/2001","Good",2015-01-13,1,"2014-01-01",NA,NA
